Date	PX_LAST	PX_VOLUME
10/02/2020	160,15	2754764
11/02/2020	162,45	2275323
12/02/2020	163,8	2736382
13/02/2020	159,76	3414117
14/02/2020	161,01	2233840
18/02/2020	158,88	2481963
19/02/2020	159,34	2296554
20/02/2020	158,56	3275083
21/02/2020	156,93	3535642
24/02/2020	152,55	3635787
25/02/2020	146,85	5263388
26/02/2020	148,96	5155285
27/02/2020	150,16	8241561
28/02/2020	149,24	11508710
02/03/2020	153,02	8026254
03/03/2020	145,24	8296485
04/03/2020	153,98	5773845
05/03/2020	151,41	5887040
06/03/2020	153,65	7155126
09/03/2020	144,06	8194358
10/03/2020	153,3	5651741
11/03/2020	147,24	4753737
12/03/2020	133,58	8215829
13/03/2020	141,68	6580346
16/03/2020	130,91	7440840
17/03/2020	134,44	6535424
18/03/2020	137,02	6860393
19/03/2020	137,51	6365999
20/03/2020	124,89	9589183
23/03/2020	117,87	7934299
24/03/2020	132,72	9311725
25/03/2020	131,54	7742500
26/03/2020	136,18	6718291
27/03/2020	133,24	4262337
30/03/2020	137,74	3869504
31/03/2020	136,51	3614963
01/04/2020	133,14	3777954
02/04/2020	137,91	3990340
03/04/2020	133,79	3588252
06/04/2020	140,7	5639666
07/04/2020	144,6	5496738
08/04/2020	148,99	3071063
09/04/2020	147,78	4784237
13/04/2020	146,4	2642295
14/04/2020	150,14	3318390
15/04/2020	145,16	3043859
16/04/2020	144,9	4170357
17/04/2020	146,46	5393130
20/04/2020	143,67	2893045
21/04/2020	141,63	2331372
22/04/2020	143,61	2750414
23/04/2020	144,33	2585335
24/04/2020	147	2247654
27/04/2020	153,65	4644944
28/04/2020	157,61	8294104
29/04/2020	156,26	3987124
30/04/2020	151,92	3667848
01/05/2020	148,6	2926714
04/05/2020	148,4	2229849
05/05/2020	147,43	2269160
06/05/2020	146,2	2168564
07/05/2020	145,74	2801164
08/05/2020	148,51	2170027
11/05/2020	145,73	3034572
12/05/2020	141,52	3029968
13/05/2020	136,12	4806049
14/05/2020	135,99	5897704
15/05/2020	138,69	10113650
18/05/2020	149,27	6018514
19/05/2020	148,38	4059864
20/05/2020	149,68	3428789
21/05/2020	145,81	2789110
22/05/2020	146,44	2661662
26/05/2020	152,08	4616331
27/05/2020	158,15	6056347
28/05/2020	156,82	6731222
29/05/2020	156,44	8632670
01/06/2020	155,58	2084341
02/06/2020	157,64	2333820
03/06/2020	161,21	3674275
04/06/2020	162,55	2880967
05/06/2020	167,41	4527587
08/06/2020	166,87	2987595
09/06/2020	166,7	3161966
10/06/2020	163,9	2551336
11/06/2020	152,38	5016599
12/06/2020	154,87	2998771
15/06/2020	157,73	4094160
16/06/2020	159,67	3388296
17/06/2020	159,22	1714979
18/06/2020	159,21	1806269
19/06/2020	158,15	6402272
22/06/2020	156,69	2020861
23/06/2020	157,84	2302208
24/06/2020	152,22	3042844
25/06/2020	154,67	2060691
26/06/2020	152,52	2826495
29/06/2020	155,57	2145146
30/06/2020	155,99	2941732
01/07/2020	155,43	1625728
02/07/2020	157,04	1982976
06/07/2020	158,1	2099527
07/07/2020	154,82	1571706
08/07/2020	154,58	1662062
09/07/2020	151,45	2189954
10/07/2020	152,85	1954541
13/07/2020	154,8	2217754
14/07/2020	158,54	3198942
15/07/2020	159,33	3472254
16/07/2020	160,5	1801502
17/07/2020	159,83	2551772
20/07/2020	156,37	1790097
21/07/2020	157,8	2757249
22/07/2020	158,71	1899582
23/07/2020	159,29	2695122
24/07/2020	159,84	2524854
27/07/2020	163,24	3198457
28/07/2020	155,33	7738796
29/07/2020	156,25	3322894
30/07/2020	152,12	3112986
31/07/2020	150,47	3266644
03/08/2020	150,41	2265040
04/08/2020	151,21	1848626
05/08/2020	155,35	2723360
06/08/2020	156	2885798
07/08/2020	158,33	2184531
10/08/2020	161,44	2272795
11/08/2020	163,38	3764883
12/08/2020	164,26	2079670
13/08/2020	165,86	2884061
14/08/2020	166,1	1607354
17/08/2020	164,71	2068072
18/08/2020	164,38	1519440
19/08/2020	163,97	2012818
20/08/2020	162,97	1990620
21/08/2020	161,71	2005583
24/08/2020	163,53	2604618
25/08/2020	163,1	1938629
26/08/2020	163,9	2503413
27/08/2020	164,08	2325937
28/08/2020	165,66	3046525
31/08/2020	163,02	2881511
01/09/2020	164,8	2901444
02/09/2020	169,51	3943678
03/09/2020	166,31	3481289
04/09/2020	165,77	3266995
08/09/2020	163,17	2863890
09/09/2020	165,7	2721750
10/09/2020	163,15	2054331
11/09/2020	166,17	1698664
14/09/2020	168,46	2264354
15/09/2020	166,57	2056474
16/09/2020	169,51	2932828
17/09/2020	172,38	2756078
18/09/2020	169,55	4084722
21/09/2020	161,36	3911678
22/09/2020	162,34	2103752
23/09/2020	159,51	2248196
24/09/2020	160,42	1569695
25/09/2020	160,27	1949057
28/09/2020	161,66	2098520
29/09/2020	159,81	2026047
30/09/2020	160,18	3056908
01/10/2020	158,79	1989312
02/10/2020	160,36	1769035
05/10/2020	162,75	1457201
06/10/2020	162,23	2022103
07/10/2020	166,49	2155563
08/10/2020	167,71	1902821
09/10/2020	169,3	2015611
12/10/2020	168,65	1533855
13/10/2020	166,63	1575448
14/10/2020	168,4	1435365
15/10/2020	169,08	1638271
16/10/2020	170,97	2478787
19/10/2020	169,55	1910123
20/10/2020	170,95	1813211
21/10/2020	169,17	1511112
22/10/2020	170,71	1663268
