Date	PX_LAST	PX_VOLUME
10/02/2020	132,24	1816474
11/02/2020	132,63	1733538
12/02/2020	133,24	1715434
13/02/2020	134,46	3178514
14/02/2020	135,87	2360549
18/02/2020	135,6	2428250
19/02/2020	136,93	1785417
20/02/2020	136,58	2541728
21/02/2020	134,9	3106406
24/02/2020	128,19	6329285
25/02/2020	120,9	7628112
26/02/2020	118,5	5269710
27/02/2020	112,81	8279823
28/02/2020	109,93	11363610
02/03/2020	113,87	9851607
03/03/2020	108,01	9285025
04/03/2020	115,7	7470920
05/03/2020	110,94	12060580
06/03/2020	108,24	9897802
09/03/2020	98,29	12266270
10/03/2020	103,3	9793181
11/03/2020	95,38	8823339
12/03/2020	83,53	12206640
13/03/2020	99,6	12680440
16/03/2020	85,87	15072430
17/03/2020	86,58	10512210
18/03/2020	73,75	14359270
19/03/2020	77,07	12330400
20/03/2020	74,12	12208560
23/03/2020	68,96	8907637
24/03/2020	84,05	10593890
25/03/2020	90,17	11046490
26/03/2020	93,29	9461911
27/03/2020	88,73	7000135
30/03/2020	90,27	5564975
31/03/2020	85,61	6076864
01/04/2020	77,84	8313414
02/04/2020	76,66	8338115
03/04/2020	73,6	10023090
06/04/2020	83,87	11253030
07/04/2020	87,58	8693228
08/04/2020	92,08	6122757
09/04/2020	94,82	6904961
13/04/2020	90,33	5037661
14/04/2020	88,39	8703213
15/04/2020	83,79	10415570
16/04/2020	81,35	7526616
17/04/2020	87,39	8268973
20/04/2020	84,01	6140419
21/04/2020	81,52	7360284
22/04/2020	82,54	5133476
23/04/2020	82,46	5807217
24/04/2020	83,17	9126723
27/04/2020	85,06	7785036
28/04/2020	88,19	7165866
29/04/2020	96,12	9396537
30/04/2020	91,25	6553674
01/05/2020	88,32	4620175
04/05/2020	86,38	4875440
05/05/2020	86,74	4410262
06/05/2020	84	4723373
07/05/2020	86,73	4629415
08/05/2020	89,5	3917177
11/05/2020	85,33	5917627
12/05/2020	83,14	5504857
13/05/2020	78,03	10681600
14/05/2020	83,81	10625120
15/05/2020	82,22	6618627
18/05/2020	88,41	7787399
19/05/2020	87,26	4920630
20/05/2020	90,73	5218515
21/05/2020	89,83	6241894
22/05/2020	89,33	3734517
26/05/2020	94,32	6559362
27/05/2020	101,23	11007670
28/05/2020	98,06	9271708
29/05/2020	95,07	7711888
01/06/2020	96,75	4272832
02/06/2020	99,07	5433811
03/06/2020	105,4	7301045
04/06/2020	106,54	5841610
05/06/2020	109,73	10097630
08/06/2020	113,67	6795230
09/06/2020	110,46	5517423
10/06/2020	106,16	5747397
11/06/2020	98,6	8601195
12/06/2020	101,68	7251105
15/06/2020	103,95	6478926
16/06/2020	105,62	6710620
17/06/2020	103,96	4408202
18/06/2020	102,16	3645733
19/06/2020	100,94	7589463
22/06/2020	99,44	4799863
23/06/2020	99,42	4364753
24/06/2020	95,48	5958264
25/06/2020	97,85	5195380
26/06/2020	93,42	10489370
29/06/2020	94,52	4962408
30/06/2020	95,2	4367083
01/07/2020	94,05	3301022
02/07/2020	94,33	4239747
06/07/2020	96,58	4059607
07/07/2020	93,01	5564231
08/07/2020	92,9	6382098
09/07/2020	90,57	4484524
10/07/2020	93,23	4400854
13/07/2020	93,56	4819699
14/07/2020	94,84	4044377
15/07/2020	97,36	5405620
16/07/2020	96,32	2666018
17/07/2020	95,18	2873784
20/07/2020	94	3560385
21/07/2020	96,33	4227530
22/07/2020	96,54	4360503
23/07/2020	96,67	4239812
24/07/2020	95,33	4790446
27/07/2020	95,79	3501828
28/07/2020	94,42	3567652
29/07/2020	96,69	2791954
30/07/2020	94,65	3856299
31/07/2020	93,32	4088793
03/08/2020	93,54	2869843
04/08/2020	93,19	2415124
05/08/2020	95,39	2852335
06/08/2020	95,92	2698777
07/08/2020	99,16	4690730
10/08/2020	101,62	5254766
11/08/2020	103,26	4744256
12/08/2020	101,68	3408210
13/08/2020	100,42	3265769
14/08/2020	100,41	1956491
17/08/2020	97,55	7488517
18/08/2020	96,67	3337580
19/08/2020	96,89	3079639
20/08/2020	96,72	3102494
21/08/2020	96,15	2845431
24/08/2020	99,33	4141096
25/08/2020	99,05	2946625
26/08/2020	98,4	2936486
27/08/2020	101,53	3992187
28/08/2020	102,54	4382870
