Date	PX_LAST	PX_VOLUME
10/02/2020	227.42	2144696
11/02/2020	228.96	1934539
12/02/2020	227	2501250
13/02/2020	223.04	1946511
14/02/2020	223.48	1611960
18/02/2020	221.69	1936402
19/02/2020	222.96	1322884
20/02/2020	222.14	1637976
21/02/2020	222.79	2047484
24/02/2020	217.88	3049587
25/02/2020	210.38	3915518
26/02/2020	214.54	3313975
27/02/2020	203.5	4071060
28/02/2020	199.73	5316456
02/03/2020	212.2	4245732
03/03/2020	204.42	3975261
04/03/2020	215.11	3880450
05/03/2020	212.12	3185407
06/03/2020	210.65	3100544
09/03/2020	198.37	4065565
10/03/2020	206.8	3928777
11/03/2020	198.65	3777570
12/03/2020	182.24	4902612
13/03/2020	202.1	6903858
16/03/2020	188.68	4932563
17/03/2020	207.8	5912873
18/03/2020	204.88	5597870
19/03/2020	198.76	4796717
20/03/2020	188.25	5727006
23/03/2020	185.93	4396603
24/03/2020	202.34	5288247
25/03/2020	193.14	5301004
26/03/2020	198.49	5162547
27/03/2020	198.27	4119780
30/03/2020	208.48	3218998
31/03/2020	202.73	2929128
01/04/2020	197.81	2747906
02/04/2020	208.88	3867332
03/04/2020	205.41	2281426
06/04/2020	211.58	3702502
07/04/2020	208.78	2447461
08/04/2020	219.19	2861876
09/04/2020	218.21	2503361
13/04/2020	218.27	2168055
14/04/2020	226.8	3028974
15/04/2020	221.8	3107124
16/04/2020	230.9	2617328
17/04/2020	234.97	2864273
20/04/2020	236.6	2824060
21/04/2020	230.75	2672870
22/04/2020	229.29	2845168
23/04/2020	232.49	3226457
24/04/2020	236.28	1946281
27/04/2020	242.43	2472687
28/04/2020	237.67	2548919
29/04/2020	235.69	3365329
30/04/2020	239.22	5704522
01/05/2020	230.98	3045498
04/05/2020	230.91	2035913
05/05/2020	236.36	1975551
06/05/2020	236.59	1980563
07/05/2020	233.33	2451212
08/05/2020	234.82	1534384
11/05/2020	242.74	2163904
12/05/2020	237.21	2240986
13/05/2020	236.83	2292659
14/05/2020	237.98	3322788
15/05/2020	240.2	3111458
18/05/2020	233.19	5631628
19/05/2020	227.43	3835753
20/05/2020	227.87	3714620
21/05/2020	224.78	2377709
22/05/2020	226.43	2334329
26/05/2020	222.4	2397794
27/05/2020	224.81	2932075
28/05/2020	224.13	2591060
29/05/2020	229.7	4251215
01/06/2020	226.91	1817709
02/06/2020	223.72	3198896
03/06/2020	221	3660542
04/06/2020	220.88	2392798
05/06/2020	225.67	3714949
08/06/2020	225.75	2270543
09/06/2020	224.9	2403581
10/06/2020	227.12	2851314
11/06/2020	218.9	3900729
12/06/2020	217.9	2426695
15/06/2020	219.78	2471769
16/06/2020	226.87	2582329
17/06/2020	225.97	2751198
18/06/2020	230.32	2469861
19/06/2020	238.7	5319517
22/06/2020	234.19	2337012
23/06/2020	235.75	2171491
24/06/2020	232.51	1973255
25/06/2020	235.11	2080292
26/06/2020	232.84	3613263
29/06/2020	231.56	1938220
30/06/2020	235.86	2589161
01/07/2020	255.12	6575764
02/07/2020	258.24	3338105
06/07/2020	256.25	3460401
07/07/2020	253.15	2365929
08/07/2020	251.59	1993691
09/07/2020	251.66	1739596
10/07/2020	249.04	1326217
