Date	PX_LAST	PX_VOLUME
10/02/2020	80.3875	109348880
11/02/2020	79.9025	94323120
12/02/2020	81.8	113730280
13/02/2020	81.2175	94747560
14/02/2020	81.2375	80113800
18/02/2020	79.75	152762200
19/02/2020	80.905	93983960
20/02/2020	80.075	100565960
21/02/2020	78.2625	129705680
24/02/2020	74.545	222195320
25/02/2020	72.02	230673440
26/02/2020	73.1625	198713720
27/02/2020	68.38	320605520
28/02/2020	68.34	426884800
02/03/2020	74.7025	341397360
03/03/2020	72.33	319475400
04/03/2020	75.685	219178280
05/03/2020	73.23	187572880
06/03/2020	72.2575	226177000
09/03/2020	66.5425	286744840
10/03/2020	71.335	285290080
11/03/2020	68.8575	256379880
12/03/2020	62.0575	418474000
13/03/2020	69.4925	370732120
16/03/2020	60.5525	322423480
17/03/2020	63.215	324055880
18/03/2020	61.6675	300233640
19/03/2020	61.195	271857040
20/03/2020	57.31	401693200
23/03/2020	56.0925	336752840
24/03/2020	61.72	287531080
25/03/2020	61.38	303602040
26/03/2020	64.61	252560680
27/03/2020	61.935	204216600
30/03/2020	63.7025	167976440
31/03/2020	63.5725	197002000
01/04/2020	60.2275	176218560
02/04/2020	61.2325	165933960
03/04/2020	60.3525	129880080
06/04/2020	65.6175	201820280
07/04/2020	64.8575	202887320
08/04/2020	66.5175	168895280
09/04/2020	66.9975	162116480
13/04/2020	68.3125	131022920
14/04/2020	71.7625	194994680
15/04/2020	71.1075	131154560
16/04/2020	71.6725	157125160
17/04/2020	70.7	215249920
20/04/2020	69.2325	130015000
21/04/2020	67.0925	180991560
22/04/2020	69.025	117057360
23/04/2020	68.7575	124814320
24/04/2020	70.7425	126508720
27/04/2020	70.7925	117087560
28/04/2020	69.645	112004760
29/04/2020	71.9325	137280800
30/04/2020	73.45	183063880
01/05/2020	72.2675	240616720
04/05/2020	73.29	133567960
05/05/2020	74.39	147751200
06/05/2020	75.1575	142333760
07/05/2020	75.935	115215040
08/05/2020	77.5325	134047960
11/05/2020	78.7525	145946240
12/05/2020	77.8525	162301040
13/05/2020	76.9125	200622560
14/05/2020	77.385	158929080
15/05/2020	76.9275	166348360
18/05/2020	78.74	135372520
19/05/2020	78.285	101729560
20/05/2020	79.8075	111504880
21/05/2020	79.2125	102688840
22/05/2020	79.7225	81803000
26/05/2020	79.1825	125521800
27/05/2020	79.5275	112945080
28/05/2020	79.5625	133796400
29/05/2020	79.485	153598120
01/06/2020	80.4625	81018600
02/06/2020	80.835	87642800
03/06/2020	81.28	104491200
04/06/2020	80.58	87560360
05/06/2020	82.875	137250200
08/06/2020	83.365	95654520
09/06/2020	85.9975	147712360
10/06/2020	88.21	166651760
11/06/2020	83.975	201662440
12/06/2020	84.7	200146040
15/06/2020	85.7475	138808920
16/06/2020	88.02	165428720
17/06/2020	87.8975	114406520
18/06/2020	87.9325	96820400
19/06/2020	87.43	264475800
22/06/2020	89.7175	135445280
23/06/2020	91.6325	212155480
24/06/2020	90.015	192623400
25/06/2020	91.21	137522520
26/06/2020	88.4075	205256840
29/06/2020	90.445	130646080
30/06/2020	91.2	140223280
01/07/2020	91.0275	110737240
02/07/2020	91.0275	114041480
06/07/2020	93.4625	118655640
07/07/2020	93.1725	112424440
08/07/2020	95.3425	117091880
09/07/2020	95.6825	125642600
10/07/2020	95.92	90257320
13/07/2020	95.4775	191649160
14/07/2020	97.0575	170989360
15/07/2020	97.725	153197920
16/07/2020	96.5225	110577680
17/07/2020	96.3275	92186920
20/07/2020	98.3575	90317920
21/07/2020	97	103645840
22/07/2020	97.2725	89001640
23/07/2020	92.845	197004440
24/07/2020	92.615	185438880
27/07/2020	94.81	121214200
28/07/2020	93.2525	103625520
29/07/2020	95.04	90329240
30/07/2020	96.19	158130040
31/07/2020	106.26	374295480
03/08/2020	108.9375	308151400
04/08/2020	109.665	172792360
05/08/2020	110.0625	121991960
06/08/2020	113.9025	202428920
07/08/2020	111.1125	198045600
10/08/2020	112.7275	212403440
11/08/2020	109.375	187902360
12/08/2020	113.01	165944840
13/08/2020	115.01	210082080
14/08/2020	114.9075	165565200
17/08/2020	114.6075	119561440
18/08/2020	115.5625	105633560
19/08/2020	115.7075	145538000
20/08/2020	118.275	126907200
21/08/2020	124.37	338054640
24/08/2020	125.8575	345937760
25/08/2020	124.825	211495800
26/08/2020	126.5225	163022280
27/08/2020	125.01	155552400
28/08/2020	124.8075	187629920
31/08/2020	129.04	225702700
01/09/2020	134.18	152470100
02/09/2020	131.4	200119000
03/09/2020	120.88	257599600
04/09/2020	120.96	332607200
08/09/2020	112.82	231366600
09/09/2020	117.32	176940500
10/09/2020	113.49	182274400
11/09/2020	112	180860300
14/09/2020	115.355	140150100
15/09/2020	115.54	184642000
16/09/2020	112.13	155026700
17/09/2020	110.34	178011000
18/09/2020	106.84	287104900
21/09/2020	110.08	195713800
22/09/2020	111.81	183055400
23/09/2020	107.12	150718700
24/09/2020	108.22	167743300
25/09/2020	112.28	149981400
28/09/2020	114.96	137672400
29/09/2020	114.09	100060500
30/09/2020	115.81	142675200
01/10/2020	116.79	116120400
02/10/2020	113.02	144712000
05/10/2020	116.5	106243800
06/10/2020	113.16	161498200
07/10/2020	115.08	96848990
08/10/2020	114.97	83477150
09/10/2020	116.97	100506900
12/10/2020	124.4	240226800
13/10/2020	121.1	262330500
14/10/2020	121.19	151062300
15/10/2020	120.71	112559200
16/10/2020	119.02	115393800
19/10/2020	115.98	120639300
20/10/2020	117.51	124423700
21/10/2020	116.87	89945980
22/10/2020	115.75	101988000
23/10/2020	115.04	82572650
26/10/2020	115.05	111850700
27/10/2020	116.6	92276770
28/10/2020	111.2	143937800
29/10/2020	115.32	146129200
30/10/2020	108.86	190573500
02/11/2020	108.77	122866900
03/11/2020	110.44	107624400
04/11/2020	114.95	138235500
05/11/2020	119.03	126387100
06/11/2020	118.69	114457900
09/11/2020	116.32	154515300
10/11/2020	115.97	138023400
11/11/2020	119.49	112295000
12/11/2020	119.21	103350700
13/11/2020	119.26	81688590
16/11/2020	120.3	91183020
17/11/2020	119.39	74270970
18/11/2020	118.03	76322110
19/11/2020	118.64	74112970
20/11/2020	117.34	73604290
23/11/2020	113.85	127959300
24/11/2020	115.17	113874200
25/11/2020	116.03	76499230
27/11/2020	116.59	46691330
30/11/2020	119.05	169410200
01/12/2020	122.72	128166800
