Date	PX_LAST	PX_VOLUME
10/02/2020	134,32	2331632
11/02/2020	136,19	2381972
12/02/2020	139,59	3221976
13/02/2020	139,72	3318815
14/02/2020	137,99	2813705
18/02/2020	136,58	3869820
19/02/2020	136,86	2134929
20/02/2020	136,93	2678315
21/02/2020	137,21	2855843
24/02/2020	132,17	4964814
25/02/2020	129	4840239
26/02/2020	128,25	3904420
27/02/2020	123,27	7368998
28/02/2020	124,24	8301938
02/03/2020	127,6	6100195
03/03/2020	124,38	6358116
04/03/2020	127,4	5074885
05/03/2020	121,97	6015298
06/03/2020	121,41	5768074
09/03/2020	104,07	8636218
10/03/2020	106,49	8293227
11/03/2020	100,69	6546771
12/03/2020	92,26	10285930
13/03/2020	99,64	8718635
16/03/2020	93,41	9898962
17/03/2020	100,2	7206113
18/03/2020	100,12	6995124
19/03/2020	103,01	6870804
20/03/2020	95,5	7650329
23/03/2020	91,85	6737514
24/03/2020	101,34	7417117
25/03/2020	104,67	6578066
26/03/2020	110,5	6060704
27/03/2020	105,44	5746496
30/03/2020	111,71	5725565
31/03/2020	116,04	8979915
01/04/2020	111,35	6846994
02/04/2020	116,74	8106522
03/04/2020	114,67	5036565
06/04/2020	120,43	5785626
07/04/2020	121,92	8489853
08/04/2020	127,4	4686055
09/04/2020	125,03	4753459
13/04/2020	114,14	10519610
14/04/2020	116,48	7166341
15/04/2020	111,53	5652807
16/04/2020	113,22	5926446
17/04/2020	116,3	4132254
20/04/2020	114,6	4083843
21/04/2020	109,85	5743280
22/04/2020	110,64	3795100
23/04/2020	112,91	3545433
24/04/2020	114,04	3045999
27/04/2020	115,2	5344823
28/04/2020	115,46	5604649
29/04/2020	120,06	4261141
30/04/2020	116,38	4040514
01/05/2020	110,88	3960387
04/05/2020	107,72	4500672
05/05/2020	108,91	3477657
06/05/2020	107,67	4465270
07/05/2020	107,29	4379182
08/05/2020	112,11	3913422
11/05/2020	108,61	4207282
12/05/2020	105	3874063
13/05/2020	104,48	5376118
14/05/2020	106,19	5542426
15/05/2020	107,92	6583120
18/05/2020	115,02	5604429
19/05/2020	112,08	3404897
20/05/2020	115,69	3735708
21/05/2020	114,06	2342645
22/05/2020	112,47	2735070
26/05/2020	117,41	4185148
27/05/2020	122,42	4462678
28/05/2020	120,74	3744246
29/05/2020	120,13	4278095
01/06/2020	120,5	2133655
02/06/2020	123,32	2977504
03/06/2020	127,09	3712613
04/06/2020	128,96	3076685
05/06/2020	135,12	5591916
08/06/2020	137,72	4139216
09/06/2020	134,19	3819615
10/06/2020	132,44	4018747
11/06/2020	121,55	5969327
12/06/2020	123,15	4492689
15/06/2020	123,61	4094202
16/06/2020	130,11	6892353
17/06/2020	128,23	3228124
18/06/2020	127,59	2467656
19/06/2020	127,46	6485013
22/06/2020	125,79	2806343
23/06/2020	126,25	2357094
24/06/2020	122,06	3766472
25/06/2020	124,71	2903449
26/06/2020	122,39	3645811
29/06/2020	125,25	2798657
30/06/2020	126,5	2778835
01/07/2020	126,06	2807787
02/07/2020	127,72	2527521
06/07/2020	129,43	2491938
07/07/2020	127,2	2018252
08/07/2020	128,13	2279934
09/07/2020	125,73	2663516
10/07/2020	128,01	2691466
13/07/2020	130,57	3708394
14/07/2020	136,88	6540786
15/07/2020	138,36	4915229
16/07/2020	138,56	3621549
17/07/2020	136,9	2458342
20/07/2020	134,63	2478030
21/07/2020	135,87	3227610
22/07/2020	136,98	2157207
23/07/2020	136,6	1613733
24/07/2020	137,58	2036293
27/07/2020	139,89	2507222
28/07/2020	138,03	2029926
29/07/2020	140,53	2338324
30/07/2020	136,73	3063503
31/07/2020	132,88	6782180
03/08/2020	131,78	2852684
04/08/2020	131,52	2301841
05/08/2020	134,97	2810166
06/08/2020	134,39	2446351
07/08/2020	134,92	2223882
10/08/2020	142,02	5181635
11/08/2020	142,53	4206018
12/08/2020	142,57	2541382
13/08/2020	140,67	2939915
14/08/2020	139,96	2038515
17/08/2020	138,72	2284055
18/08/2020	138,37	1563172
19/08/2020	138,02	1849463
20/08/2020	137,48	2279982
21/08/2020	138,43	2524615
24/08/2020	141,68	2921741
25/08/2020	141,15	2467632
26/08/2020	141,83	2380282
27/08/2020	143,37	3010304
28/08/2020	143,63	3698733
31/08/2020	142,31	2886503
01/09/2020	146,05	2675700
02/09/2020	149,27	4515508
03/09/2020	146,76	4479077
04/09/2020	148,18	5129423
08/09/2020	148,52	4775229
09/09/2020	152,69	5345097
10/09/2020	149,86	4386987
11/09/2020	153,83	3237065
14/09/2020	153,51	2569372
15/09/2020	148,6	4092442
16/09/2020	151,11	3304216
17/09/2020	153,87	4487016
18/09/2020	152,39	5113545
21/09/2020	145,33	4278168
22/09/2020	147,15	2579515
23/09/2020	144,38	2420134
24/09/2020	145,14	2138815
25/09/2020	145,91	1848864
28/09/2020	147,68	2212705
29/09/2020	147,41	1624154
30/09/2020	149,15	3642834
01/10/2020	146,71	2157410
02/10/2020	149,94	3220517
05/10/2020	153,49	2597661
06/10/2020	151,53	2559790
07/10/2020	154,77	2334454
08/10/2020	156,66	1843230
09/10/2020	158,94	4084211
12/10/2020	162,61	4279790
13/10/2020	162,12	3319232
14/10/2020	163,61	4087557
15/10/2020	165,04	2958934
16/10/2020	168,75	5571018
19/10/2020	167,53	2758144
20/10/2020	168,99	3008336
21/10/2020	167,4	2502007
22/10/2020	169,66	2357762
23/10/2020	168,59	2857252
26/10/2020	163,2	4506577
27/10/2020	157,91	4857859
28/10/2020	151,16	5645134
29/10/2020	154,67	3867170
30/10/2020	157,05	4375326
02/11/2020	163,27	4072385
03/11/2020	167,69	4843562
04/11/2020	155,23	9081678
05/11/2020	163,09	4821588
06/11/2020	161,29	2982993
09/11/2020	170,82	5969580
10/11/2020	172,3	3499082
11/11/2020	169,46	2345505
12/11/2020	169,13	2186603
13/11/2020	171,71	2121205
16/11/2020	173,19	3902350
17/11/2020	171,91	2111211
18/11/2020	172,74	3165091
19/11/2020	172,9	2012068
20/11/2020	172,23	2450417
23/11/2020	174,78	2405143
24/11/2020	176,9	3447899
25/11/2020	174,63	2506613
27/11/2020	175,08	976859
30/11/2020	173,59	2382647
01/12/2020	173,26	2710241
02/12/2020	173,87	1971044
03/12/2020	174,63	2904107
04/12/2020	182,21	6086157
07/12/2020	178,71	4587392
08/12/2020	178,84	2001582
09/12/2020	180,07	2915474
10/12/2020	178,85	3109423
11/12/2020	179,29	2673578
14/12/2020	178,05	2533626
15/12/2020	181,74	2360759
16/12/2020	179,5	2032006
17/12/2020	179,17	2296656
18/12/2020	180,96	5262742
21/12/2020	180,16	2070970
22/12/2020	176,58	2495103
23/12/2020	178,42	1862521
24/12/2020	179,56	585730
28/12/2020	178,37	1508807
29/12/2020	176,65	1490348
30/12/2020	180,04	2720613
31/12/2020	182,02	1717865
04/01/2021	182,15	4078403
05/01/2021	183,64	2933740
06/01/2021	193,86	8034734
07/01/2021	194,23	5297497
08/01/2021	194,26	3186641
11/01/2021	193,86	2541263
12/01/2021	197,54	2466084
13/01/2021	195,89	3154720
14/01/2021	197,4	2486579
15/01/2021	194,62	3317129
19/01/2021	194,06	2361180
20/01/2021	192,34	2501098
21/01/2021	192,19	1951414
22/01/2021	191,94	2027177
25/01/2021	187,34	3837108
26/01/2021	187,21	2505956
27/01/2021	180,63	4095305
28/01/2021	184,34	3445426
29/01/2021	182,84	4541368
01/02/2021	184,72	2738225
02/02/2021	192,5	5265354
03/02/2021	191,45	2979186
04/02/2021	191,65	2254049
05/02/2021	193	2240109
