Date	PX_LAST	PX_VOLUME
10/02/2020	109,79	6011806
11/02/2020	111,21	6072847
12/02/2020	112,04	5725669
13/02/2020	111,66	5991856
14/02/2020	110,08	5148798
18/02/2020	110,24	4976370
19/02/2020	110,74	5887511
20/02/2020	109,81	4466591
21/02/2020	109,01	6443864
24/02/2020	104,71	9539778
25/02/2020	100,71	12871890
26/02/2020	98,04	11991400
27/02/2020	94,13	15783660
28/02/2020	93,34	20840550
02/03/2020	96,59	15050800
03/03/2020	94,39	16525470
04/03/2020	98,53	14752950
05/03/2020	97,19	12814360
06/03/2020	95,32	16862300
09/03/2020	80,67	30595480
10/03/2020	84,98	22592130
11/03/2020	83,03	18414340
12/03/2020	76,26	25768230
13/03/2020	83,42	23497510
16/03/2020	69,7	17535270
17/03/2020	70,69	22684250
18/03/2020	55,05	24947290
19/03/2020	57,39	29870980
20/03/2020	59,39	26960440
23/03/2020	54,22	23764030
24/03/2020	66,55	29198760
25/03/2020	69,27	22560120
26/03/2020	76,38	24140970
27/03/2020	68,78	20411490
30/03/2020	71,95	18486820
31/03/2020	72,46	18514180
01/04/2020	68,56	14362040
02/04/2020	76,12	23220620
03/04/2020	75,11	14905410
06/04/2020	80,39	17334920
07/04/2020	80,92	16394790
08/04/2020	85,98	12284850
09/04/2020	84,31	17048550
13/04/2020	84,91	13854680
14/04/2020	84,61	14797590
15/04/2020	82,49	13982300
16/04/2020	79,99	12291910
17/04/2020	87,17	16130080
20/04/2020	83,57	15748960
21/04/2020	81,64	19620570
22/04/2020	84,44	10325140
23/04/2020	86,8	14226540
24/04/2020	87,01	9176599
27/04/2020	89,71	12037130
28/04/2020	89,91	10645150
29/04/2020	94,62	12342820
30/04/2020	92	12221960
01/05/2020	89,44	13250100
04/05/2020	91,44	11192380
05/05/2020	92,89	13608720
06/05/2020	90,05	11145910
07/05/2020	92,64	9753495
08/05/2020	95,47	8602865
11/05/2020	93,37	7101040
12/05/2020	91,1	8749052
13/05/2020	88,7	12215070
14/05/2020	90,05	10678190
15/05/2020	89,16	10112970
