Date	PX_LAST	PX_VOLUME
10/02/2020	48,87	19012720
11/02/2020	49,13	23168270
12/02/2020	49,93	31686170
13/02/2020	47,32	47044720
14/02/2020	46,97	26747250
18/02/2020	46,59	18550360
19/02/2020	46,29	27626380
20/02/2020	46,85	20416660
21/02/2020	46,295	20031420
24/02/2020	44	35295920
25/02/2020	42,74	48024750
26/02/2020	42,16	38528930
27/02/2020	40,04	51442850
28/02/2020	39,93	80194000
02/03/2020	41,17	48864270
03/03/2020	40,04	49294740
04/03/2020	41,39	30022090
05/03/2020	39,57	30255900
06/03/2020	39,68	48605590
09/03/2020	37,96	61535330
10/03/2020	40,08	50536520
11/03/2020	37,05	63608530
12/03/2020	33,2	51855310
13/03/2020	37,64	53859600
16/03/2020	33,71	44211290
17/03/2020	35,5	41572400
18/03/2020	37,12	56904270
19/03/2020	37,71	58319650
20/03/2020	35,6	48582550
23/03/2020	34,6	39823400
24/03/2020	38,6	48235610
25/03/2020	37,67	42873920
26/03/2020	40,58	38487230
27/03/2020	38,82	31278580
30/03/2020	40,32	27120330
31/03/2020	39,31	26019850
01/04/2020	38,33	26790670
02/04/2020	39,8	28180490
03/04/2020	39,06	21235160
06/04/2020	41,43	31641430
07/04/2020	40,64	30366070
08/04/2020	41,74	22683520
09/04/2020	41,2	27650200
13/04/2020	41,22	19591970
14/04/2020	42,78	22882370
15/04/2020	41,52	18428790
16/04/2020	41,5	26177970
17/04/2020	42,48	30701460
20/04/2020	42,54	23438040
21/04/2020	40,55	31661040
22/04/2020	41,76	18337410
23/04/2020	41,62	16100170
24/04/2020	42,52	14641720
27/04/2020	43,06	17937890
28/04/2020	42,49	16427730
29/04/2020	43,34	17430130
30/04/2020	42,38	26679920
01/05/2020	40,92	22095260
04/05/2020	41,35	15997720
05/05/2020	41,46	15060220
06/05/2020	41,15	16040350
07/05/2020	41,37	20173640
08/05/2020	42,99	21962830
11/05/2020	43,32	26182690
12/05/2020	43,22	25817070
13/05/2020	41,95	36986700
14/05/2020	43,85	50417740
15/05/2020	44,27	30573030
18/05/2020	45,06	26980080
19/05/2020	44,605	24345420
20/05/2020	45,44	20184460
21/05/2020	44,64	18674890
22/05/2020	44,9	12592810
26/05/2020	44,84	21776880
27/05/2020	45,96	22157160
28/05/2020	45,595	20027750
29/05/2020	47,82	43570370
01/06/2020	46,3	18730620
02/06/2020	46,89	17285950
03/06/2020	46,94	17491950
04/06/2020	46,86	14100660
05/06/2020	47,83	22591050
08/06/2020	48,13	17820920
09/06/2020	48,05	18597270
10/06/2020	47,42	18462380
11/06/2020	43,67	35582020
12/06/2020	45,07	26125550
15/06/2020	45,35	21300100
16/06/2020	46,48	28074580
17/06/2020	46,17	20399080
18/06/2020	45,83	22423460
19/06/2020	45,32	36103240
22/06/2020	45,16	18398600
23/06/2020	45,47	23222360
24/06/2020	44,75	22840140
25/06/2020	45,22	19114870
26/06/2020	46,31	106928300
29/06/2020	46,15	23875410
30/06/2020	46,64	21888830
01/07/2020	46,06	17129460
02/07/2020	45,63	19631980
06/07/2020	46,42	16152860
07/07/2020	45,63	17102840
08/07/2020	45,81	15020770
09/07/2020	46,7	26027690
10/07/2020	46,66	13775700
13/07/2020	45,93	17965550
14/07/2020	46,26	19303460
15/07/2020	46,4	15704960
16/07/2020	45,78	17709450
17/07/2020	46,75	20389740
20/07/2020	46,97	15966490
21/07/2020	47,02	16074740
22/07/2020	46,9	27218260
23/07/2020	47,41	23750220
24/07/2020	46,4	16983630
27/07/2020	47,19	15575960
28/07/2020	46,28	13975260
29/07/2020	46,71	11618230
30/07/2020	46,44	15385150
31/07/2020	47,1	17706370
03/08/2020	47,16	14142520
04/08/2020	47,67	12839490
05/08/2020	47,33	13077570
06/08/2020	47,77	14190870
07/08/2020	47,43	17054310
10/08/2020	47,73	14999190
11/08/2020	47,19	18859630
12/08/2020	48,1	27023680
13/08/2020	42,72	91849460
14/08/2020	42,5	32539450
17/08/2020	42,09	30511750
18/08/2020	41,98	23344590
19/08/2020	41,87	20097420
20/08/2020	42,31	18443880
21/08/2020	42,25	17389560
24/08/2020	42,18	17742930
25/08/2020	41,96	15417360
26/08/2020	42,25	21625830
27/08/2020	42,29	22456770
28/08/2020	42,2	16573580
31/08/2020	42,22	21297990
01/09/2020	42,03	23344890
02/09/2020	42,42	30045680
03/09/2020	40,95	39288120
04/09/2020	40,82	34867420
08/09/2020	40	29101790
09/09/2020	40,13	23351620
10/09/2020	39,57	25108750
11/09/2020	39,88	21852960
14/09/2020	40,37	19866720
15/09/2020	40,6	19024100
