Date	PX_LAST	PX_VOLUME
10/02/2020	48.19	2488501
11/02/2020	48.79	3705361
12/02/2020	49.38	2964166
13/02/2020	48.3	3302628
14/02/2020	48.63	3206989
18/02/2020	47.74	3594866
19/02/2020	47.56	5644897
20/02/2020	48.76	4154273
21/02/2020	48.3	3972853
24/02/2020	46.24	5075879
25/02/2020	43.95	5529265
26/02/2020	43.05	6472198
27/02/2020	39.55	10009270
28/02/2020	40.41	10281590
02/03/2020	41.42	7706652
03/03/2020	40.56	6765291
04/03/2020	41.91	4967253
05/03/2020	40.1	5447386
06/03/2020	38.97	6928360
09/03/2020	30.53	15081530
10/03/2020	31.4	12975440
11/03/2020	27.99	12459430
12/03/2020	23.67	18163270
13/03/2020	25.69	17350830
16/03/2020	22	12345390
17/03/2020	26.6	19873250
18/03/2020	26.44	16955890
19/03/2020	28.12	13893430
20/03/2020	27.44	12649120
23/03/2020	26.58	11703120
24/03/2020	28.47	12333650
25/03/2020	30.38	10539250
26/03/2020	29.68	14302170
27/03/2020	28.56	9101424
30/03/2020	28.65	6817047
31/03/2020	29.24	7603278
01/04/2020	27.04	10339940
02/04/2020	28.03	10680340
03/04/2020	27.97	8005127
06/04/2020	30.54	8021118
07/04/2020	32.33	15028010
08/04/2020	34.79	7220706
09/04/2020	36.56	9892280
13/04/2020	35.23	7170551
14/04/2020	35.37	7348798
15/04/2020	32.23	7586720
16/04/2020	31.63	6918459
17/04/2020	33.42	6544068
20/04/2020	31.53	7140696
21/04/2020	30.88	7315130
22/04/2020	31.84	5338064
23/04/2020	32.56	7724714
24/04/2020	33.12	4979469
27/04/2020	34.44	4885908
28/04/2020	35.87	5868593
29/04/2020	37.47	6887348
30/04/2020	36.69	10990220
01/05/2020	33.93	8709271
04/05/2020	33.06	6248349
05/05/2020	33.37	5041572
06/05/2020	31.96	4601512
07/05/2020	32.85	5058466
08/05/2020	34.33	4324506
11/05/2020	33.9	4320973
12/05/2020	33.79	5675435
13/05/2020	32.35	5865169
