Date	PX_LAST	PX_VOLUME
10/02/2020	176,95	2399768
11/02/2020	179,15	2948548
12/02/2020	181,18	2950847
13/02/2020	180,12	1985746
14/02/2020	180,81	2489020
18/02/2020	179,42	1818587
19/02/2020	180,86	2464654
20/02/2020	180,7	2337143
21/02/2020	179,88	1940507
24/02/2020	175,27	3204282
25/02/2020	167,8	4092333
26/02/2020	167,18	3412306
27/02/2020	159,55	3951276
28/02/2020	162,17	9558366
02/03/2020	164,24	6744876
03/03/2020	161,89	6108463
04/03/2020	171,19	4532596
05/03/2020	164,92	5394709
06/03/2020	164,03	5021640
09/03/2020	152,86	5849172
10/03/2020	161,69	5477672
11/03/2020	153,39	4827816
12/03/2020	134,85	7170455
13/03/2020	149,41	6324766
16/03/2020	135,27	5891059
17/03/2020	131,8	8524753
18/03/2020	119,61	7633945
19/03/2020	118,96	6814084
20/03/2020	112,5	6801189
23/03/2020	103,86	8200419
24/03/2020	119,51	5799126
25/03/2020	129,65	7159221
26/03/2020	137,4	5594931
27/03/2020	131,27	3924962
30/03/2020	131,75	5035721
31/03/2020	133,79	5296240
01/04/2020	129,71	4246432
02/04/2020	132,81	3504272
03/04/2020	127,45	4031583
06/04/2020	134	4874332
07/04/2020	135,24	4051696
08/04/2020	139,25	3890679
09/04/2020	143,43	4365272
13/04/2020	137,94	3016339
14/04/2020	140,59	3486646
15/04/2020	134,84	3252800
16/04/2020	132,33	4016729
17/04/2020	138,32	4750813
20/04/2020	135,7	2529045
21/04/2020	132	2418381
22/04/2020	133,03	2629750
23/04/2020	134,68	2786493
24/04/2020	135,52	2838091
27/04/2020	139,88	3137902
28/04/2020	142,76	3377927
29/04/2020	146,16	2651169
30/04/2020	141,9	4492640
01/05/2020	137,25	3681089
04/05/2020	135,2	4122981
05/05/2020	134,87	3122341
06/05/2020	133,04	2349534
07/05/2020	132,79	3096581
08/05/2020	136,91	2740689
11/05/2020	134,28	2356608
12/05/2020	127,59	4870394
13/05/2020	122,97	5786234
14/05/2020	127,05	5226246
15/05/2020	125,41	4660374
18/05/2020	136,04	6405777
19/05/2020	131,95	4427962
20/05/2020	136,03	2950112
21/05/2020	137,69	2374722
22/05/2020	139,18	2958107
26/05/2020	144,94	4370192
27/05/2020	148,59	4291816
28/05/2020	147,56	3482059
29/05/2020	145,85	4135505
01/06/2020	146,18	2071314
02/06/2020	148,35	3625945
03/06/2020	153,35	2992681
04/06/2020	155,91	3768304
05/06/2020	161,37	4525058
08/06/2020	162,92	3573701
09/06/2020	158,1	3679119
10/06/2020	154,12	3309841
11/06/2020	143,44	4184897
12/06/2020	144,51	3612553
15/06/2020	146,63	3314137
16/06/2020	149,11	3804542
17/06/2020	148,34	3507610
18/06/2020	148,23	2581586
19/06/2020	145,37	5262473
22/06/2020	144,94	2529933
23/06/2020	144,86	2309765
24/06/2020	138,35	3371215
25/06/2020	142,46	4018969
26/06/2020	138,21	10255730
29/06/2020	143,24	2971245
30/06/2020	144,59	3688010
01/07/2020	144,11	2609510
02/07/2020	145,02	2758693
06/07/2020	147,22	2337022
07/07/2020	144,97	2622255
08/07/2020	145,59	3587884
09/07/2020	141,37	3167289
10/07/2020	142,45	2325245
13/07/2020	143,49	2585695
14/07/2020	148,1	2649756
15/07/2020	151,93	2984976
16/07/2020	153,08	3697646
17/07/2020	155	4888931
20/07/2020	153,39	4876393
21/07/2020	154,76	2394274
22/07/2020	154,61	1798752
23/07/2020	153,73	2625565
24/07/2020	149,43	4368458
27/07/2020	150,76	3378500
28/07/2020	152,01	3904219
29/07/2020	154,58	3311499
30/07/2020	149,16	2749145
31/07/2020	149,37	4061644
03/08/2020	148,53	2105414
04/08/2020	147,33	3047403
05/08/2020	150,82	4181000
06/08/2020	152,58	2502703
07/08/2020	155,11	2520220
10/08/2020	159,43	2859020
11/08/2020	160,28	3773736
12/08/2020	160,07	2670107
13/08/2020	158,98	2575155
14/08/2020	160,28	2845057
17/08/2020	158,76	2817232
18/08/2020	157,38	1869295
19/08/2020	156,85	2098217
20/08/2020	156,17	1600585
21/08/2020	157,5	2507892
24/08/2020	159,37	2087009
25/08/2020	164,53	7400493
26/08/2020	165,31	3466570
27/08/2020	165,99	4281073
28/08/2020	168,38	13012090
31/08/2020	165,55	4561896
01/09/2020	167,97	3975061
02/09/2020	172,47	4111867
03/09/2020	166,3	3527698
04/09/2020	166,69	3326851
08/09/2020	164,27	2796785
09/09/2020	165,75	2807776
10/09/2020	164,27	2815199
11/09/2020	166,45	2116896
14/09/2020	168,47	2134219
15/09/2020	168,3	1851506
16/09/2020	170	3153636
17/09/2020	170,34	2661506
18/09/2020	168,7	4908245
21/09/2020	161,37	4459569
22/09/2020	162,68	2501159
23/09/2020	158,79	2508022
24/09/2020	158,76	2238312
25/09/2020	161,49	2594305
28/09/2020	164,64	2512994
29/09/2020	164,51	2192777
30/09/2020	164,61	2883408
