Date	PX_LAST	PX_VOLUME
10/02/2020	154,43	5239807
11/02/2020	153,48	3835112
12/02/2020	155,31	4438007
13/02/2020	154,31	3820697
14/02/2020	150,7	6099244
18/02/2020	151,1	3343514
19/02/2020	150,86	2733277
20/02/2020	151,22	2880709
21/02/2020	149,84	3537258
24/02/2020	146,43	5452408
25/02/2020	141,71	6211547
26/02/2020	139,75	5409537
27/02/2020	133,11	8421125
28/02/2020	130,15	13012230
02/03/2020	134,3	8531415
03/03/2020	128,9	7896068
04/03/2020	134,22	4996370
05/03/2020	129,55	5446227
06/03/2020	127,73	8193257
09/03/2020	117,81	10757490
10/03/2020	124,77	11410690
11/03/2020	117,97	8451038
12/03/2020	102,81	12512660
13/03/2020	107,95	12502110
16/03/2020	99,08	10567960
17/03/2020	106,65	9258338
18/03/2020	103,55	8772460
19/03/2020	100,34	8396521
20/03/2020	95,39	10546460
23/03/2020	94,77	9729393
24/03/2020	105,48	7973944
25/03/2020	105,85	8654047
26/03/2020	112,89	7158052
27/03/2020	108,03	6423038
30/03/2020	112,93	5564541
31/03/2020	110,93	6346676
01/04/2020	105,14	6112947
02/04/2020	110	6328674
03/04/2020	106,34	4538750
06/04/2020	114,82	7034193
07/04/2020	114,94	5595329
08/04/2020	119,29	5158641
09/04/2020	121,5	5576815
13/04/2020	121,15	5119713
14/04/2020	123,91	5088660
15/04/2020	118,69	5637341
16/04/2020	115,73	6457556
17/04/2020	120,12	4965992
20/04/2020	120,41	8181736
21/04/2020	116,76	14349030
22/04/2020	119,31	7087869
23/04/2020	121,35	6881615
24/04/2020	124,72	4987346
27/04/2020	125,92	4923806
28/04/2020	126,27	4778144
29/04/2020	128,69	5257579
30/04/2020	125,56	6635783
01/05/2020	121,87	4925535
04/05/2020	121,68	4017877
05/05/2020	122,58	3899416
06/05/2020	123,17	3864589
07/05/2020	121,23	4414328
08/05/2020	122,99	5003939
11/05/2020	122,59	3535276
12/05/2020	120,26	4784457
13/05/2020	115,73	5882813
14/05/2020	116,95	5259373
15/05/2020	116,98	4786330
18/05/2020	121,56	4207593
19/05/2020	120,29	3241117
20/05/2020	121,38	3840858
21/05/2020	119,12	4000863
22/05/2020	118,39	4180771
26/05/2020	121,76	5469282
27/05/2020	125,54	5727496
28/05/2020	124,53	3916377
29/05/2020	124,9	7930467
01/06/2020	124,89	2883294
02/06/2020	126	2978056
03/06/2020	129,05	3917746
04/06/2020	128,89	3864785
05/06/2020	132,06	5892960
08/06/2020	135,75	5370469
09/06/2020	131,87	5393644
10/06/2020	129,87	4734835
