Date	PX_LAST	PX_VOLUME
10/02/2020	66.39	22299290
11/02/2020	67.41	17975620
12/02/2020	67.46	15586600
13/02/2020	67.44	11602730
14/02/2020	67.27	13405450
18/02/2020	66.14	12766570
19/02/2020	67.11	13551200
20/02/2020	65.45	26452590
21/02/2020	64.34	20780470
24/02/2020	61.76	26903120
25/02/2020	59.73	34495730
26/02/2020	59.65	26217740
27/02/2020	55.83	42226860
28/02/2020	55.52	60728000
02/03/2020	58.18	43140300
03/03/2020	55.97	49740280
04/03/2020	58.68	29223070
05/03/2020	56.96	29099160
06/03/2020	55.77	36259160
09/03/2020	50.85	56196980
10/03/2020	53.98	36568950
11/03/2020	51.66	38573960
12/03/2020	45.54	50661750
13/03/2020	54.43	48805060
16/03/2020	44.61	53878940
17/03/2020	50.08	52085160
18/03/2020	47.61	49309880
19/03/2020	45.94	44538030
20/03/2020	45.83	52344050
23/03/2020	49.58	46698480
24/03/2020	52.4	50019750
25/03/2020	51.26	41106060
26/03/2020	55.54	41475410
27/03/2020	52.37	31633490
30/03/2020	55.49	31628610
31/03/2020	54.12	48081860
01/04/2020	51.88	29586560
02/04/2020	54.35	27809990
03/04/2020	54.13	23906060
06/04/2020	58.43	32323390
07/04/2020	58.4	41410010
08/04/2020	58.98	26719500
09/04/2020	57.14	40515420
13/04/2020	58.7	23251940
14/04/2020	60.66	25673990
15/04/2020	58.87	22841550
16/04/2020	60.79	24433520
17/04/2020	60.36	27385640
20/04/2020	59.18	26419610
21/04/2020	56.36	25248030
22/04/2020	60.1	23443750
23/04/2020	59.04	35091950
24/04/2020	59.26	50220510
27/04/2020	59.47	25902240
28/04/2020	58.75	28784710
29/04/2020	61.8	30451540
30/04/2020	59.98	26279880
01/05/2020	57.47	21194800
04/05/2020	57.99	18957230
05/05/2020	58.75	17252060
06/05/2020	59.18	17848660
07/05/2020	59.17	14733520
08/05/2020	59.67	20391090
11/05/2020	60.13	18684440
12/05/2020	58.39	16754900
13/05/2020	57.74	21064970
14/05/2020	59.08	21569350
15/05/2020	58.28	21373270
18/05/2020	59.92	20443710
19/05/2020	60.29	21865010
20/05/2020	63.1	30583990
21/05/2020	61.98	20987740
22/05/2020	62.255	14103010
26/05/2020	62.34	20933560
27/05/2020	63.56	19886270
28/05/2020	61.7	17264130
29/05/2020	62.93	33395740
01/06/2020	61.86	14329040
02/06/2020	62.12	20702350
03/06/2020	61.93	16737270
04/06/2020	62.97	22010140
05/06/2020	64.34	26813100
08/06/2020	63.67	21546180
09/06/2020	63.04	23594130
10/06/2020	63.87	21367850
11/06/2020	59.7	26998240
12/06/2020	59.33	30419770
15/06/2020	60.1	29651720
16/06/2020	60.4	23226630
17/06/2020	60.49	20454770
18/06/2020	60.08	24899700
19/06/2020	59.62	60324580
22/06/2020	60.09	22846010
23/06/2020	59.92	22809580
24/06/2020	59.09	27764480
25/06/2020	58.51	21906940
26/06/2020	57.5	38477510
29/06/2020	58.27	22150270
30/06/2020	59.83	31542060
01/07/2020	58.81	14748070
02/07/2020	59.13	15578580
06/07/2020	59.54	20536720
07/07/2020	58.31	15996490
08/07/2020	58.61	13277870
09/07/2020	58.42	20683690
10/07/2020	59.53	17742320
13/07/2020	58.58	19082940
14/07/2020	58.98	24190870
15/07/2020	59.03	19986310
16/07/2020	59.14	12425870
17/07/2020	60	16322810
20/07/2020	61.15	16868660
21/07/2020	60.7	19830310
22/07/2020	61.05	18959920
23/07/2020	60.4	43518550
24/07/2020	50.59	182269900
27/07/2020	49.57	107526500
28/07/2020	49.24	62362610
29/07/2020	48.07	60500810
30/07/2020	47.99	39735190
31/07/2020	47.73	46569880
03/08/2020	48.3	31767140
04/08/2020	49.13	29045840
05/08/2020	48.92	29471070
06/08/2020	48.57	23795530
07/08/2020	48.03	36765230
10/08/2020	49.22	37442610
11/08/2020	48.19	35348090
12/08/2020	49.19	30687170
13/08/2020	48.56	24774510
14/08/2020	48.89	22321170
17/08/2020	48.93	20018270
18/08/2020	48.65	19251400
19/08/2020	48.33	27774980
20/08/2020	49.17	55081340
21/08/2020	49.28	34316470
24/08/2020	49.14	36295310
25/08/2020	49.43	38384330
26/08/2020	49.55	28616620
27/08/2020	49.4	24420610
28/08/2020	50.43	35384680
31/08/2020	50.95	46114130
01/09/2020	50.79	30522710
02/09/2020	52.25	53000730
03/09/2020	50.39	47394340
04/09/2020	50.08	43318370
08/09/2020	48.91	39752690
09/09/2020	49.62	33437270
10/09/2020	48.96	32649150
11/09/2020	49.28	29333570
14/09/2020	49.41	27212490
15/09/2020	50	27598260
16/09/2020	50.37	26555280
17/09/2020	50.32	26959930
18/09/2020	49.89	50123500
21/09/2020	49.72	27377120
22/09/2020	49.95	22290860
23/09/2020	48.82	30078800
24/09/2020	49.16	29343400
25/09/2020	49.94	26633410
28/09/2020	51.43	29652250
29/09/2020	51.19	19687450
30/09/2020	51.78	27711350
01/10/2020	52.24	22127580
02/10/2020	51.01	25811770
05/10/2020	51.69	20883250
06/10/2020	51.37	25642790
07/10/2020	52.67	21978670
08/10/2020	53.37	22369540
09/10/2020	52.82	24343900
12/10/2020	53.88	27303470
13/10/2020	53.83	20005770
14/10/2020	53.55	21885110
15/10/2020	53.85	18272870
16/10/2020	54.16	23421390
19/10/2020	54.58	43537220
20/10/2020	53.43	27224900
21/10/2020	53.5	21866030
22/10/2020	53.9	41522740
23/10/2020	48.2	97322490
26/10/2020	46.72	54161290
27/10/2020	45.64	50130520
28/10/2020	44.25	45066010
29/10/2020	44.11	36796800
30/10/2020	44.28	46794170
02/11/2020	44.46	33856740
03/11/2020	44.85	33587540
04/11/2020	45.7	34748150
05/11/2020	45.68	31103210
06/11/2020	45.39	36233680
09/11/2020	45.6	48481730
10/11/2020	45.44	39224460
11/11/2020	46.35	31496940
12/11/2020	44.95	42909920
13/11/2020	45.46	30898110
16/11/2020	46.19	36306290
17/11/2020	45.53	31072060
18/11/2020	45.06	32817920
19/11/2020	45.62	29469080
20/11/2020	45.39	24199280
23/11/2020	46.06	35489640
24/11/2020	47.01	33901170
25/11/2020	47.05	28126890
27/11/2020	47.45	15921420
30/11/2020	48.35	46332670
01/12/2020	49.56	57778190
02/12/2020	49.9	33753520
03/12/2020	50.99	50261150
04/12/2020	51.985	39767720
07/12/2020	50.2	51040300
08/12/2020	50.69	28956510
09/12/2020	50.07	34068390
10/12/2020	50.26	33705980
11/12/2020	49.73	29398840
14/12/2020	50.47	33436400
15/12/2020	50.665	25472990
16/12/2020	51.12	28350980
17/12/2020	50.65	26399020
18/12/2020	47.46	119298400
21/12/2020	46.36	53775700
22/12/2020	46.17	32188770
23/12/2020	46.57	22564230
24/12/2020	47.07	11865640
28/12/2020	47.07	21269170
29/12/2020	49.39	84531390
30/12/2020	48.75	37385410
31/12/2020	49.82	28576790
04/01/2021	49.67	46102460
05/01/2021	50.61	24866560
06/01/2021	51.1	36809640
07/01/2021	52.19	32092340
08/01/2021	51.65	34625380
11/01/2021	51.54	32933280
12/01/2021	53.24	39883890
13/01/2021	56.95	124070700
14/01/2021	59.25	74680890
15/01/2021	57.58	50265360
19/01/2021	57.99	35647140
20/01/2021	58.67	28701260
21/01/2021	62.46	87156460
22/01/2021	56.66	85729320
25/01/2021	55.44	61968550
26/01/2021	55.21	31485880
27/01/2021	53.59	49722950
28/01/2021	56.065	49202560
29/01/2021	55.51	37256230
01/02/2021	56.69	26926640
02/02/2021	58	23580890
03/02/2021	57.68	21893190
04/02/2021	58.79	29853780
05/02/2021	58.18	23432610
