Date	PX_LAST	PX_VOLUME
10/02/2020	151,86	4836002
11/02/2020	151,99	3715389
12/02/2020	151,09	5167069
13/02/2020	150,09	5480225
14/02/2020	150,13	5716549
18/02/2020	149,14	7231010
19/02/2020	148,94	6115220
20/02/2020	148,37	7465047
21/02/2020	149,93	7776835
24/02/2020	145,91	10589200
25/02/2020	144,65	10529370
26/02/2020	143,68	10094400
27/02/2020	139,12	12566710
28/02/2020	134,48	19825530
02/03/2020	140,02	11508230
03/03/2020	135,59	13662450
04/03/2020	143,48	10560820
05/03/2020	142,01	11339190
06/03/2020	142,03	12239090
09/03/2020	136,44	13848570
10/03/2020	141,64	12698070
11/03/2020	131,8	17768060
12/03/2020	125,41	21539200
13/03/2020	134,29	20084150
16/03/2020	127,13	18877920
17/03/2020	136,59	18911760
18/03/2020	134,96	17521130
19/03/2020	127,05	18482340
20/03/2020	119,89	19785130
23/03/2020	111,14	20815230
24/03/2020	119,18	17604770
25/03/2020	119,4	13986050
26/03/2020	126,57	15068650
27/03/2020	123,16	12133220
30/03/2020	133,01	21754030
31/03/2020	131,13	15746120
01/04/2020	128,81	12606080
02/04/2020	133,15	11594460
03/04/2020	134,17	10071180
06/04/2020	139,76	14994420
07/04/2020	137,48	11567070
08/04/2020	143,26	10758180
09/04/2020	141,23	11127210
13/04/2020	139,77	8153228
14/04/2020	146,03	13838020
15/04/2020	147,66	11962260
16/04/2020	149,67	12181700
17/04/2020	152,02	10920020
20/04/2020	151,67	12226200
21/04/2020	149,68	9951106
22/04/2020	152,99	11518320
23/04/2020	155,51	10665020
24/04/2020	154,86	8654126
27/04/2020	154,29	8924048
28/04/2020	151,39	8558719
29/04/2020	150,24	9285216
30/04/2020	150,04	14829600
01/05/2020	148,29	7308960
04/05/2020	148,27	7198409
05/05/2020	149,5	6562288
06/05/2020	148,08	6191594
07/05/2020	147,59	5571034
08/05/2020	148,7	4712477
11/05/2020	149,11	5887489
12/05/2020	147,14	7039227
13/05/2020	147,13	6970457
14/05/2020	147,64	6871412
15/05/2020	150,44	10340400
18/05/2020	150,52	7389995
19/05/2020	149,02	6107256
20/05/2020	147,68	5713440
21/05/2020	146,71	6487343
