Date	PX_LAST	PX_VOLUME
10/02/2020	137,74	5960700
11/02/2020	138	6578649
12/02/2020	138	7957984
13/02/2020	137,88	7447535
14/02/2020	137,46	6627891
18/02/2020	135,64	8997247
19/02/2020	137,49	7071399
20/02/2020	137,49	7422800
21/02/2020	135,81	9772770
24/02/2020	132,16	13618430
25/02/2020	126,26	20797190
26/02/2020	126,64	24836160
27/02/2020	121,37	23005470
28/02/2020	116,11	45942580
02/03/2020	121,52	27355450
03/03/2020	116,96	32547740
04/03/2020	119,85	25795870
05/03/2020	113,97	25025630
06/03/2020	108,08	38159410
09/03/2020	93,44	40352030
10/03/2020	100,7	31102650
11/03/2020	95,96	38157810
12/03/2020	88,05	49725230
13/03/2020	103,91	38543330
16/03/2020	88,36	38589650
17/03/2020	93,76	35239840
18/03/2020	83,89	41525570
19/03/2020	85,3	32175060
20/03/2020	83,5	30150820
23/03/2020	79,03	32536580
24/03/2020	88,43	34363160
25/03/2020	91,73	38111700
26/03/2020	98,12	29840430
27/03/2020	91,13	30041460
30/03/2020	93,5	21656930
31/03/2020	90,03	23379300
01/04/2020	84,36	28029570
02/04/2020	87,51	24017960
03/04/2020	84,05	21199450
06/04/2020	89,46	26820850
07/04/2020	90,64	22563810
08/04/2020	94,3	22903260
09/04/2020	102,76	42084670
13/04/2020	98,19	26911950
14/04/2020	95,5	46151260
15/04/2020	90,79	30118620
16/04/2020	87,33	32449620
17/04/2020	95,18	30191900
20/04/2020	91,71	23679430
21/04/2020	89,05	23035020
22/04/2020	89,34	16706030
23/04/2020	89,39	16638770
24/04/2020	90,71	15815290
27/04/2020	94,62	22870210
28/04/2020	95,29	20238900
29/04/2020	97,86	20462560
30/04/2020	95,76	19127630
01/05/2020	93,25	18547740
04/05/2020	92,14	15725880
05/05/2020	92	18064120
06/05/2020	90,27	20978040
07/05/2020	91,21	16771940
08/05/2020	92,7	20494920
11/05/2020	89,97	31907590
12/05/2020	87,03	27962920
13/05/2020	84,03	35451600
14/05/2020	87,52	35152450
15/05/2020	85,9	26099040
18/05/2020	90,45	30528730
19/05/2020	88,67	19597290
20/05/2020	91,33	20552360
21/05/2020	90,17	14621410
22/05/2020	89,47	13557920
26/05/2020	95,82	41233950
27/05/2020	101,37	39402040
28/05/2020	99,86	24738540
29/05/2020	97,31	26538150
