Date	PX_LAST	PX_VOLUME
02/02/2018	169,38	4604454
05/02/2018	163,85	7309275
06/02/2018	165,18	7019960
07/02/2018	165,71	4974029
08/02/2018	158,97	5655988
09/02/2018	160,8	7187079
12/02/2018	163,9	5255925
13/02/2018	162,4	5405988
14/02/2018	159,99	5865565
15/02/2018	160,78	5012104
16/02/2018	157,79	7165793
20/02/2018	157,16	5211141
21/02/2018	158,64	7833396
22/02/2018	160,66	4398165
23/02/2018	163,06	4272364
26/02/2018	163,58	4525196
27/02/2018	160,66	4907530
28/02/2018	157,74	6116820
01/03/2018	155,7	5608962
02/03/2018	148,27	11754260
05/03/2018	151,03	6397841
06/03/2018	151,2	5015408
07/03/2018	152,38	4492049
08/03/2018	154,44	4291386
09/03/2018	157,24	5076480
12/03/2018	157,74	4461502
13/03/2018	158,22	4333091
14/03/2018	158,24	3878961
15/03/2018	161,61	5925708
16/03/2018	162,36	14293750
19/03/2018	159,01	4307627
20/03/2018	159,38	3105129
21/03/2018	158,66	3871947
22/03/2018	157,04	3669437
23/03/2018	154,98	3447383
26/03/2018	158,01	3476951
27/03/2018	157,48	3519139
28/03/2018	158,41	3913249
29/03/2018	156,38	5289487
02/04/2018	157,72	6960137
03/04/2018	160,4	4719350
04/04/2018	161,73	4888038
05/04/2018	163,95	4503889
06/04/2018	161,25	4321878
09/04/2018	161,23	3581531
10/04/2018	162,77	3926051
11/04/2018	163,34	2711129
12/04/2018	161,62	5178889
13/04/2018	161,73	2452777
16/04/2018	161,63	3115186
17/04/2018	162,55	2861915
18/04/2018	161,81	2503128
19/04/2018	159,53	3276623
20/04/2018	158,77	3961213
23/04/2018	158,99	3051878
24/04/2018	157,32	2904359
25/04/2018	155,94	3710228
26/04/2018	158,9	3680630
27/04/2018	158,3	4141496
30/04/2018	167,44	12954740
01/05/2018	163,44	6560143
02/05/2018	160,68	4318436
03/05/2018	160,08	3450094
04/05/2018	165,03	4283643
07/05/2018	165	3378990
08/05/2018	164,77	2808116
09/05/2018	164,24	2762488
10/05/2018	165,07	1675139
11/05/2018	165,39	2258462
14/05/2018	164,72	2537289
15/05/2018	163,06	3471278
16/05/2018	162,87	2522035
17/05/2018	161,31	2975505
18/05/2018	160,98	2318045
21/05/2018	161,48	2424012
22/05/2018	159,45	3224003
23/05/2018	161,62	3835129
24/05/2018	162,39	3378040
25/05/2018	163,21	2582090
29/05/2018	160,62	3197053
30/05/2018	161,82	2396547
31/05/2018	160,01	4881141
01/06/2018	159,16	3203782
04/06/2018	160,22	3174562
05/06/2018	159,48	2952304
06/06/2018	162,38	3586190
07/06/2018	169,48	8342535
08/06/2018	168,91	5056578
11/06/2018	166,49	3246464
12/06/2018	166,73	2985260
13/06/2018	166,58	3140508
14/06/2018	167,05	2389963
15/06/2018	166,46	7384360
18/06/2018	166,28	4297727
19/06/2018	164,97	3350429
20/06/2018	162,56	3649511
21/06/2018	160,53	4655807
22/06/2018	164,55	10927290
25/06/2018	159,81	6126774
26/06/2018	160,91	3375117
27/06/2018	157,42	4962140
28/06/2018	156,32	4136532
29/06/2018	156,69	4024512
02/07/2018	156,87	3023959
03/07/2018	156,48	1437699
