Date	PX_LAST	PX_VOLUME
10/02/2020	85,66	10106100
11/02/2020	85,25	9783063
12/02/2020	83,25	18731830
13/02/2020	81,97	18500740
14/02/2020	82,65	8342959
18/02/2020	82,46	9560516
19/02/2020	82	11202470
20/02/2020	82,49	10440210
21/02/2020	82,34	8870220
24/02/2020	81,33	13105390
25/02/2020	80,27	12568410
26/02/2020	79,94	11394320
27/02/2020	78,08	15013630
28/02/2020	76,56	27922050
02/03/2020	81,37	17977600
03/03/2020	79,13	16598140
04/03/2020	82,97	19298040
05/03/2020	81,58	14330040
06/03/2020	82,2	13557820
09/03/2020	78,96	18075230
10/03/2020	82,02	16724740
11/03/2020	79,25	13623740
12/03/2020	74,45	21626660
13/03/2020	76,75	24672800
16/03/2020	69,92	19855330
17/03/2020	74,48	23612430
18/03/2020	71,63	17708450
19/03/2020	70,73	18386200
20/03/2020	71,36	22019170
23/03/2020	66,4	17533430
24/03/2020	69,05	18990360
25/03/2020	68,22	17472810
26/03/2020	73,53	17229090
27/03/2020	71,73	11896220
30/03/2020	76,95	15079480
31/03/2020	76,94	14390490
01/04/2020	73,8	11130990
02/04/2020	76,87	12255540
03/04/2020	76,25	9579423
06/04/2020	80,31	13658510
07/04/2020	78,56	10169820
08/04/2020	81,62	10955970
09/04/2020	82,49	13241570
13/04/2020	80,54	7353681
14/04/2020	82,84	11598640
15/04/2020	82,07	10314030
16/04/2020	83	8726155
17/04/2020	83,46	14726300
20/04/2020	83,1	11140980
21/04/2020	78,56	17057770
22/04/2020	79,98	11387460
23/04/2020	80,88	7779088
24/04/2020	81,43	7334926
27/04/2020	83,98	12201140
28/04/2020	81,18	19345010
29/04/2020	80,77	13060350
30/04/2020	79,34	11105840
01/05/2020	77,67	9082822
04/05/2020	76,86	8445155
05/05/2020	78,01	7062437
06/05/2020	77,12	11846260
07/05/2020	75,6	12025920
08/05/2020	76,4	8389200
11/05/2020	77,91	10135970
12/05/2020	77,19	9107471
13/05/2020	77,89	10434270
14/05/2020	80,05	10885100
15/05/2020	79,78	8938291
18/05/2020	79,72	11977800
19/05/2020	77,55	10106720
20/05/2020	76,89	10522560
21/05/2020	76,55	8588091
22/05/2020	76,37	6066320
26/05/2020	77,26	18269100
27/05/2020	77,55	12241380
28/05/2020	79,04	12585990
29/05/2020	80,72	12900690
01/06/2020	79,56	5991955
