Date	PX_LAST	PX_VOLUME
10/02/2020	188,7	35844270
11/02/2020	184,44	53159910
12/02/2020	184,71	47062920
13/02/2020	183,71	35295830
14/02/2020	185,35	23149520
18/02/2020	187,23	27853110
19/02/2020	187,28	29997470
20/02/2020	184,42	36862380
21/02/2020	178,59	48600390
24/02/2020	170,89	68311070
25/02/2020	168,07	68073300
26/02/2020	170,17	56387150
27/02/2020	158,18	93174910
28/02/2020	162,01	97073560
02/03/2020	172,79	71030810
03/03/2020	164,51	71677020
04/03/2020	170,55	49814380
05/03/2020	166,27	47817250
06/03/2020	161,57	72821060
09/03/2020	150,62	70419270
10/03/2020	160,92	65354390
11/03/2020	153,63	56504300
12/03/2020	139,06	93226370
13/03/2020	158,83	92727450
16/03/2020	135,42	87905870
17/03/2020	146,57	81059820
18/03/2020	140,4	81593170
19/03/2020	142,71	85922660
20/03/2020	137,35	84866220
23/03/2020	135,98	78975180
24/03/2020	148,34	82516730
25/03/2020	146,92	75638220
26/03/2020	156,11	64694430
27/03/2020	149,7	57042290
30/03/2020	160,23	63420330
31/03/2020	157,71	77927190
01/04/2020	152,11	57969930
02/04/2020	155,26	49630740
03/04/2020	153,83	41243280
06/04/2020	165,27	67111700
07/04/2020	163,49	62769040
08/04/2020	165,13	48318230
09/04/2020	165,14	51431780
13/04/2020	165,51	41905260
14/04/2020	173,7	52874340
15/04/2020	171,88	40940830
16/04/2020	177,04	50479610
17/04/2020	178,6	52765630
20/04/2020	175,06	36669560
21/04/2020	167,82	56203750
22/04/2020	173,52	34651600
23/04/2020	171,42	32790800
24/04/2020	174,55	34305320
27/04/2020	174,05	33194380
28/04/2020	169,81	34392690
29/04/2020	177,43	51286560
30/04/2020	179,21	53875860
01/05/2020	174,57	39370470
04/05/2020	178,84	30372860
05/05/2020	180,76	36839170
06/05/2020	182,54	32139300
07/05/2020	183,6	28315990
08/05/2020	184,68	30912640
11/05/2020	186,74	30892660
12/05/2020	182,51	32038200
13/05/2020	179,75	44711490
14/05/2020	180,53	41873910
15/05/2020	183,16	46610380
18/05/2020	184,91	35306620
19/05/2020	183,63	26799120
20/05/2020	185,66	31261330
21/05/2020	183,43	29119510
22/05/2020	183,51	20826900
26/05/2020	181,57	36073610
27/05/2020	181,81	39517150
28/05/2020	181,4	33831820
29/05/2020	183,25	42146720
01/06/2020	182,83	22668820
02/06/2020	184,91	30794590
03/06/2020	185,36	27311020
04/06/2020	182,92	28761810
05/06/2020	187,2	39893640
08/06/2020	188,36	33211590
09/06/2020	189,8	29783920
10/06/2020	196,84	43872330
11/06/2020	186,27	52854670
12/06/2020	187,74	43373590
15/06/2020	188,94	32770190
16/06/2020	193,57	42556660
17/06/2020	194,24	25687820
18/06/2020	196,32	23061650
19/06/2020	195,15	44441140
22/06/2020	200,57	32818930
23/06/2020	201,91	30917450
24/06/2020	197,84	36740650
25/06/2020	200,34	27803930
26/06/2020	196,33	54675780
29/06/2020	198,44	26701590
30/06/2020	203,51	34310280
01/07/2020	204,7	32061210
02/07/2020	206,26	29315760
06/07/2020	210,7	31897630
07/07/2020	208,25	33600730
08/07/2020	212,83	33600030
09/07/2020	214,32	33121680
10/07/2020	213,67	26177630
13/07/2020	207,07	38135610
14/07/2020	208,35	37591820
15/07/2020	208,04	32179410
16/07/2020	203,92	29940650
17/07/2020	202,88	31635280
20/07/2020	211,6	36884840
21/07/2020	208,75	38105780
22/07/2020	211,75	49605690
23/07/2020	202,54	67457040
24/07/2020	201,3	39826990
27/07/2020	203,85	30160870
28/07/2020	202,02	23251390
29/07/2020	204,06	19632600
30/07/2020	203,9	25079600
31/07/2020	205,01	51247970
03/08/2020	216,54	78983010
04/08/2020	213,29	49280060
05/08/2020	212,94	28858620
06/08/2020	216,35	32656840
07/08/2020	212,48	27820420
10/08/2020	208,25	36716460
11/08/2020	203,38	36446460
12/08/2020	209,19	28041360
13/08/2020	208,7	22588870
14/08/2020	208,9	17958940
17/08/2020	210,28	20184760
18/08/2020	211,49	21336170
19/08/2020	209,7	27627560
20/08/2020	214,58	26981480
21/08/2020	213,02	36249320
24/08/2020	213,69	25460150
25/08/2020	216,47	23043700
26/08/2020	221,15	39600830
27/08/2020	226,58	57602200
28/08/2020	228,91	26292900
31/08/2020	225,53	28774160
01/09/2020	227,27	25791240
02/09/2020	231,65	34080840
03/09/2020	217,3	58400290
04/09/2020	214,25	59664070
08/09/2020	202,66	52924330
09/09/2020	211,29	45678990
10/09/2020	205,37	35461510
11/09/2020	204,03	33620070
14/09/2020	205,41	30375770
15/09/2020	208,78	21823940
16/09/2020	205,05	26372460
17/09/2020	202,91	34011260
18/09/2020	200,39	55225330
21/09/2020	202,54	39839660
22/09/2020	207,42	33517070
23/09/2020	200,59	30803780
24/09/2020	203,19	31202490
25/09/2020	207,82	29437310
28/09/2020	209,44	32004940
29/09/2020	207,26	24464470
30/09/2020	210,33	33829090
01/10/2020	212,46	27158420
02/10/2020	206,19	33154780
05/10/2020	210,38	21331560
06/10/2020	205,91	28554260
07/10/2020	209,83	25681050
08/10/2020	210,58	19925840
09/10/2020	215,81	26458050
12/10/2020	221,4	40461370
13/10/2020	222,86	28950840
14/10/2020	220,86	23451710
15/10/2020	219,66	22733060
16/10/2020	219,66	26057880
19/10/2020	214,22	27625840
20/10/2020	214,65	22753510
21/10/2020	214,8	22724910
22/10/2020	214,89	22351450
23/10/2020	216,23	18879610
26/10/2020	210,08	37111560
27/10/2020	213,25	36700330
28/10/2020	202,68	51195590
29/10/2020	204,72	31432560
30/10/2020	202,47	36980110
02/11/2020	202,33	30842160
03/11/2020	206,43	27512030
04/11/2020	216,39	42311780
05/11/2020	223,29	36080140
06/11/2020	223,72	25231900
09/11/2020	218,39	44394950
10/11/2020	211,01	44045120
11/11/2020	216,55	29440790
12/11/2020	215,44	21616120
13/11/2020	216,51	18630310
16/11/2020	217,23	24953340
17/11/2020	214,46	24154110
18/11/2020	211,08	28372790
19/11/2020	212,42	24792750
20/11/2020	210,39	22843120
23/11/2020	210,11	25683510
24/11/2020	213,86	33979730
25/11/2020	213,87	21012890
27/11/2020	215,23	14512210
30/11/2020	214,07	33064750
01/12/2020	216,21	30931320
02/12/2020	215,37	23724510
03/12/2020	214,24	25120920
04/12/2020	214,36	24666040
07/12/2020	214,29	24620000
08/12/2020	216,01	23284090
09/12/2020	211,8	32440600
10/12/2020	210,52	26467020
11/12/2020	213,26	30979440
14/12/2020	214,2	28798380
15/12/2020	214,13	27018110
16/12/2020	219,28	35023250
17/12/2020	219,42	32515780
18/12/2020	218,59	63354920
21/12/2020	222,59	37181890
22/12/2020	223,94	22643400
23/12/2020	221,02	18699640
24/12/2020	222,75	10550570
28/12/2020	224,96	17933500
29/12/2020	224,15	17403210
30/12/2020	221,68	20272340
31/12/2020	222,42	20942130
04/01/2021	217,69	37130140
05/01/2021	217,9	23822950
06/01/2021	212,25	35930650
07/01/2021	218,29	27694480
08/01/2021	219,62	22956210
11/01/2021	217,49	23047030
12/01/2021	214,93	23249340
13/01/2021	216,34	20087080
14/01/2021	213,02	29346740
15/01/2021	212,65	31746510
19/01/2021	216,44	30480860
20/01/2021	224,34	37777260
21/01/2021	224,97	30749550
22/01/2021	225,95	30172660
25/01/2021	229,53	33152100
26/01/2021	232,33	49169600
27/01/2021	232,9	69870640
28/01/2021	238,93	49111160
29/01/2021	231,96	42503140
01/02/2021	239,65	33314190
02/02/2021	239,51	25916340
03/02/2021	243	27158100
04/02/2021	242,01	25296100
05/02/2021	242,2	18054750
