Date	PX_LAST	PX_VOLUME
10/02/2020	100.02	4213929
11/02/2020	100.02	4871893
12/02/2020	103	8075612
13/02/2020	103.37	5386913
14/02/2020	103.54	4305480
18/02/2020	102	4916709
19/02/2020	102.46	6200501
20/02/2020	102.53	6427606
21/02/2020	100.25	5750854
24/02/2020	95.91	8364218
25/02/2020	92.9	9602121
26/02/2020	92	9308916
27/02/2020	88.55	12825660
28/02/2020	89.38	16565660
02/03/2020	92.68	14102050
03/03/2020	90.93	14767610
04/03/2020	93.79	6904443
05/03/2020	90.58	8851096
06/03/2020	88.36	12336710
09/03/2020	84.11	13272740
10/03/2020	88.3	12755880
11/03/2020	84	16172670
12/03/2020	74.2	21534810
13/03/2020	75.58	21859580
16/03/2020	66.79	17976680
17/03/2020	69.84	17122100
18/03/2020	68.04	19498810
19/03/2020	70.34	16177150
20/03/2020	67.45	15761860
23/03/2020	62.8	17690000
24/03/2020	72.33	18849460
25/03/2020	79.01	27053250
26/03/2020	84.3	17204690
27/03/2020	83.23	14183380
30/03/2020	85.38	10960130
31/03/2020	82.74	9618581
01/04/2020	79.23	9771306
02/04/2020	80.14	12731460
03/04/2020	78.86	8476870
06/04/2020	84.63	11266500
07/04/2020	84.16	10468060
08/04/2020	85.3	6642735
09/04/2020	86.79	7773978
13/04/2020	84.46	5077961
14/04/2020	87.47	6397244
15/04/2020	85.04	8053875
16/04/2020	86.3	9373831
17/04/2020	89.91	8111384
20/04/2020	87.9	7244372
21/04/2020	85.2	6596992
22/04/2020	88.77	6463929
23/04/2020	87.35	5343535
24/04/2020	88.37	4450191
27/04/2020	89.37	6875240
28/04/2020	88.8	5145355
29/04/2020	88.07	9461406
30/04/2020	87.18	9371430
01/05/2020	85.54	6151242
04/05/2020	85.75	6349037
05/05/2020	87.2	6321466
06/05/2020	88.44	7342304
07/05/2020	88.56	4566317
08/05/2020	90.46	5489391
11/05/2020	90.93	4937550
12/05/2020	88.26	5622578
13/05/2020	86.02	6739827
14/05/2020	86.55	7431774
15/05/2020	86.99	9164990
18/05/2020	91.04	8519615
19/05/2020	91.51	6514141
20/05/2020	92.95	6346990
21/05/2020	94.26	7504258
22/05/2020	93.75	4049578
26/05/2020	96.62	7185192
27/05/2020	99.87	7915885
28/05/2020	98.46	7262328
29/05/2020	98.58	10333350
01/06/2020	99.54	4299739
02/06/2020	100.74	10798730
03/06/2020	104.11	5867680
04/06/2020	101.28	8775038
05/06/2020	102.71	8363601
08/06/2020	104.29	6165363
09/06/2020	102.63	5385911
10/06/2020	102.12	5194156
11/06/2020	95.17	10976920
12/06/2020	96.43	7416393
15/06/2020	97.84	8647885
16/06/2020	99.04	6056391
17/06/2020	99.21	3405545
18/06/2020	98.45	4392371
19/06/2020	95.78	10302900
22/06/2020	99.51	6918184
23/06/2020	101.92	6498975
24/06/2020	100.08	8611585
25/06/2020	101.4	11531400
26/06/2020	93.67	24918520
29/06/2020	95.87	9624172
30/06/2020	98.05	9065532
01/07/2020	97.4	5733768
02/07/2020	98.43	5355296
06/07/2020	99.95	4995015
07/07/2020	97.07	6352887
08/07/2020	98.84	5634590
09/07/2020	96.99	6282261
10/07/2020	97.99	3967111
13/07/2020	96.46	4845621
14/07/2020	96.76	4850623
15/07/2020	98.54	5343651
16/07/2020	97.26	3595025
17/07/2020	96.28	7406714
20/07/2020	95.65	5822281
21/07/2020	98.36	5857099
22/07/2020	98.91	4097303
23/07/2020	98.3	4530464
24/07/2020	98.43	5638435
27/07/2020	97.21	4273442
28/07/2020	96.27	3822584
29/07/2020	96.97	6872745
30/07/2020	96.82	4018367
31/07/2020	97.61	5510394
03/08/2020	98.33	5474074
04/08/2020	97.33	7539319
05/08/2020	100.94	7227111
06/08/2020	100.45	4061160
07/08/2020	101.86	5545605
10/08/2020	105.41	12677960
11/08/2020	105.12	5400716
12/08/2020	105.22	4715042
13/08/2020	106.52	4281727
14/08/2020	106.43	2985847
17/08/2020	105.66	3017135
18/08/2020	106.97	5023006
19/08/2020	108.39	9508077
20/08/2020	108.01	4304290
21/08/2020	109.75	5563994
24/08/2020	111.83	8173259
25/08/2020	111.51	4380921
26/08/2020	111.53	4477854
27/08/2020	110.84	4391019
28/08/2020	112.29	3731407
31/08/2020	111.89	3519833
01/09/2020	114.84	4913969
02/09/2020	116.8	6775355
03/09/2020	112.85	7264372
04/09/2020	112.4	5157736
08/09/2020	112.72	5300108
09/09/2020	114.9	5997890
10/09/2020	114.79	5033067
11/09/2020	118	8565234
14/09/2020	119.28	4990315
15/09/2020	119.27	5934181
16/09/2020	118.59	7027588
17/09/2020	116.36	7376390
18/09/2020	114.66	12876570
21/09/2020	113.37	8486367
22/09/2020	116.87	13007210
23/09/2020	127.11	37822650
24/09/2020	124.75	13485770
25/09/2020	124.23	9182784
28/09/2020	124.32	7524978
29/09/2020	126.35	7799668
30/09/2020	125.54	8699679
01/10/2020	126.64	5637175
02/10/2020	126.64	7491067
05/10/2020	127.91	8270269
06/10/2020	127.65	5978001
07/10/2020	130.06	4390483
08/10/2020	129.71	3595578
09/10/2020	130.98	4293374
12/10/2020	129.46	5136511
13/10/2020	129.2	4245130
14/10/2020	127.66	3587295
15/10/2020	129	4236054
16/10/2020	128	6011173
19/10/2020	127.43	5160899
20/10/2020	128.49	3800038
21/10/2020	129.43	4916342
22/10/2020	130.02	2870984
23/10/2020	129.99	4046580
26/10/2020	128.37	5422455
27/10/2020	127.99	2985686
28/10/2020	122.08	8618312
29/10/2020	122.86	4947049
30/10/2020	120.08	7792405
02/11/2020	122.39	4740373
03/11/2020	124.59	3490891
04/11/2020	127.34	5061798
05/11/2020	129.7	3940003
06/11/2020	128.9	2954049
09/11/2020	128.95	7491728
10/11/2020	127.71	8014744
11/11/2020	127.66	6058668
12/11/2020	126.64	4797416
13/11/2020	128.28	3986719
16/11/2020	130.11	6116435
17/11/2020	132.21	7002945
18/11/2020	131.63	5573008
19/11/2020	131.91	4642765
20/11/2020	132.98	4320046
23/11/2020	134.13	6119342
24/11/2020	134.7	7205789
25/11/2020	135.54	4484836
27/11/2020	134.25	3506832
30/11/2020	134.7	9652509
01/12/2020	135.44	3834460
02/12/2020	135.58	4132965
03/12/2020	136.96	4930860
04/12/2020	137.19	4344036
07/12/2020	138.75	4590776
08/12/2020	139.12	6953582
09/12/2020	138.79	4341305
10/12/2020	137.58	4511003
11/12/2020	137.41	4172439
14/12/2020	136.28	7598952
15/12/2020	139.39	7642595
16/12/2020	138.34	6573449
17/12/2020	140.5	8726997
18/12/2020	137.28	17970790
21/12/2020	144.02	16111270
22/12/2020	142.45	6341604
23/12/2020	141.76	3388279
24/12/2020	141.6	1821900
28/12/2020	142.43	4081534
29/12/2020	141.57	3232430
30/12/2020	141.58	3052122
31/12/2020	141.47	2949915
04/01/2021	140.1	6178517
05/01/2021	141.23	4163149
06/01/2021	142.35	6072939
07/01/2021	144.95	5256940
08/01/2021	146.35	3950741
11/01/2021	147.05	4254143
12/01/2021	145.05	3678834
13/01/2021	143.04	3330127
14/01/2021	141.3	4104024
15/01/2021	140.72	6412351
19/01/2021	139.27	6537800
20/01/2021	142.8	4654404
21/01/2021	141.61	4013667
22/01/2021	139.35	4150453
25/01/2021	137.55	5998739
26/01/2021	135.1	5312341
27/01/2021	131.02	7815862
28/01/2021	134.72	6244598
29/01/2021	133.59	7166051
01/02/2021	135.71	4366833
02/02/2021	139.59	7132823
03/02/2021	138.63	4678553
04/02/2021	140.63	4533707
05/02/2021	145.11	6151478
