Date	RF 
11/02/2020	6,18092E-05
12/02/2020	6,18092E-05
13/02/2020	6,18092E-05
14/02/2020	6,18092E-05
18/02/2020	6,18092E-05
19/02/2020	6,18092E-05
20/02/2020	6,18092E-05
21/02/2020	6,18092E-05
24/02/2020	6,18092E-05
25/02/2020	6,18092E-05
26/02/2020	6,18092E-05
27/02/2020	6,18092E-05
28/02/2020	6,18092E-05
02/03/2020	6,18092E-05
03/03/2020	6,18092E-05
04/03/2020	4,81918E-05
05/03/2020	4,81918E-05
06/03/2020	4,81918E-05
09/03/2020	4,81918E-05
10/03/2020	4,81918E-05
11/03/2020	4,81918E-05
12/03/2020	4,81918E-05
13/03/2020	4,81918E-05
16/03/2020	6,9358E-06
17/03/2020	6,9358E-06
18/03/2020	6,9358E-06
19/03/2020	6,9358E-06
20/03/2020	6,9358E-06
23/03/2020	6,9358E-06
24/03/2020	6,9358E-06
25/03/2020	6,9358E-06
26/03/2020	6,9358E-06
27/03/2020	6,9358E-06
30/03/2020	6,9358E-06
31/03/2020	6,9358E-06
01/04/2020	6,9358E-06
02/04/2020	6,9358E-06
03/04/2020	6,9358E-06
06/04/2020	6,9358E-06
07/04/2020	6,9358E-06
08/04/2020	6,9358E-06
09/04/2020	6,9358E-06
13/04/2020	6,9358E-06
14/04/2020	6,9358E-06
15/04/2020	6,9358E-06
16/04/2020	6,9358E-06
17/04/2020	6,9358E-06
20/04/2020	6,9358E-06
21/04/2020	6,9358E-06
22/04/2020	6,9358E-06
23/04/2020	6,9358E-06
24/04/2020	6,9358E-06
27/04/2020	6,9358E-06
28/04/2020	6,9358E-06
29/04/2020	6,9358E-06
30/04/2020	6,9358E-06
01/05/2020	6,9358E-06
04/05/2020	6,9358E-06
05/05/2020	6,9358E-06
06/05/2020	6,9358E-06
07/05/2020	6,9358E-06
08/05/2020	6,9358E-06
11/05/2020	6,9358E-06
12/05/2020	6,9358E-06
13/05/2020	6,9358E-06
14/05/2020	6,9358E-06
15/05/2020	6,9358E-06
18/05/2020	6,9358E-06
19/05/2020	6,9358E-06
20/05/2020	6,9358E-06
21/05/2020	6,9358E-06
22/05/2020	6,9358E-06
26/05/2020	6,9358E-06
27/05/2020	6,9358E-06
28/05/2020	6,9358E-06
29/05/2020	6,9358E-06
01/06/2020	6,9358E-06
02/06/2020	6,9358E-06
03/06/2020	6,9358E-06
04/06/2020	6,9358E-06
05/06/2020	6,9358E-06
08/06/2020	6,9358E-06
09/06/2020	6,9358E-06
10/06/2020	6,9358E-06
11/06/2020	6,9358E-06
12/06/2020	6,9358E-06
15/06/2020	6,9358E-06
16/06/2020	6,9358E-06
17/06/2020	6,9358E-06
18/06/2020	6,9358E-06
19/06/2020	6,9358E-06
22/06/2020	6,9358E-06
23/06/2020	6,9358E-06
24/06/2020	6,9358E-06
25/06/2020	6,9358E-06
26/06/2020	6,9358E-06
29/06/2020	6,9358E-06
30/06/2020	6,9358E-06
01/07/2020	6,9358E-06
02/07/2020	6,9358E-06
06/07/2020	6,9358E-06
07/07/2020	6,9358E-06
08/07/2020	6,9358E-06
09/07/2020	6,9358E-06
10/07/2020	6,9358E-06
13/07/2020	6,9358E-06
14/07/2020	6,9358E-06
15/07/2020	6,9358E-06
16/07/2020	6,9358E-06
17/07/2020	6,9358E-06
20/07/2020	6,9358E-06
21/07/2020	6,9358E-06
22/07/2020	6,9358E-06
23/07/2020	6,9358E-06
24/07/2020	6,9358E-06
27/07/2020	6,9358E-06
28/07/2020	6,9358E-06
29/07/2020	6,9358E-06
30/07/2020	6,9358E-06
31/07/2020	6,9358E-06
03/08/2020	6,9358E-06
04/08/2020	6,9358E-06
05/08/2020	6,9358E-06
06/08/2020	6,9358E-06
07/08/2020	6,9358E-06
10/08/2020	6,9358E-06
11/08/2020	6,9358E-06
12/08/2020	6,9358E-06
