Date	PX_LAST	PX_VOLUME
10/02/2020	189,12	3873498
11/02/2020	189,11	4299231
12/02/2020	189,46	4535367
13/02/2020	188,64	3132057
14/02/2020	189,95	3599445
18/02/2020	191,09	4957450
19/02/2020	192,87	3903153
20/02/2020	193,36	5451154
21/02/2020	189,5	5244259
24/02/2020	185,94	8463256
25/02/2020	181,27	11361120
26/02/2020	178,87	13926480
27/02/2020	172,15	9927314
28/02/2020	170,4	12643590
02/03/2020	176,76	7761040
03/03/2020	169,37	8323455
04/03/2020	175,69	5846719
05/03/2020	169,6	5797479
06/03/2020	164,08	9757735
09/03/2020	151,21	9657064
10/03/2020	161,34	11443930
11/03/2020	154,57	10345330
12/03/2020	140,59	13212960
13/03/2020	147,78	13765420
16/03/2020	124,3	13845250
17/03/2020	135,42	12191540
18/03/2020	132,24	12988160
19/03/2020	139,46	10444040
20/03/2020	139,35	12450120
23/03/2020	140,52	11898210
24/03/2020	153,64	11834350
25/03/2020	147,06	10639270
26/03/2020	154,73	8578887
27/03/2020	146	8273549
30/03/2020	149,85	7650429
31/03/2020	143,98	10431480
01/04/2020	134,06	8737615
02/04/2020	134,32	8150532
03/04/2020	134,31	6004409
06/04/2020	147,55	12296770
07/04/2020	145,07	7859451
08/04/2020	151,12	7665521
09/04/2020	154,55	7094576
13/04/2020	152,5	5138591
14/04/2020	157,71	7334310
15/04/2020	155,63	4042624
16/04/2020	157,06	4391510
17/04/2020	162,62	7312872
20/04/2020	162,76	4685993
21/04/2020	150,56	13737880
22/04/2020	154,14	6665468
23/04/2020	151,72	6281430
24/04/2020	153,98	6712013
27/04/2020	157,63	5036448
28/04/2020	154,46	4731803
29/04/2020	160,43	5256730
30/04/2020	161,95	6830654
01/05/2020	156,37	4277134
04/05/2020	161,47	5974158
05/05/2020	163,25	5264761
06/05/2020	163,67	4112567
07/05/2020	169,9	6461957
08/05/2020	175,9	5405882
11/05/2020	182,67	8695960
12/05/2020	177,54	5904630
13/05/2020	169,64	12534950
14/05/2020	167	7442262
15/05/2020	171,33	5673821
18/05/2020	172,5	6399484
19/05/2020	176,04	5264042
20/05/2020	176,93	4951152
21/05/2020	175,26	4429652
22/05/2020	177,85	4965119
26/05/2020	176,52	8353577
27/05/2020	176,6	6340206
28/05/2020	181,1	10363610
29/05/2020	174,79	19645390
01/06/2020	176,36	5719312
02/06/2020	174,23	8571769
03/06/2020	174,99	6004048
04/06/2020	171,44	7301551
05/06/2020	173,88	8232167
08/06/2020	176,55	4592583
09/06/2020	174,56	4025596
10/06/2020	182,1	8127243
11/06/2020	172,05	6521167
12/06/2020	175,11	5443819
15/06/2020	178,61	6001846
16/06/2020	180,48	5825189
17/06/2020	181,4	5038626
18/06/2020	187,66	8677753
19/06/2020	186,95	11840970
22/06/2020	191,65	6252237
23/06/2020	189,06	6950841
24/06/2020	185,55	4903134
25/06/2020	188,34	4022421
26/06/2020	183,17	7595666
29/06/2020	183,33	3972149
30/06/2020	187,33	4478900
01/07/2020	191,89	4754613
02/07/2020	192,53	4200292
06/07/2020	197,72	5794241
07/07/2020	196,38	5431497
08/07/2020	200,28	4233731
09/07/2020	200,74	6062761
10/07/2020	198,88	3783209
13/07/2020	188,34	5555350
14/07/2020	189,56	5854719
15/07/2020	188,09	7681765
16/07/2020	185,51	7350001
17/07/2020	187,78	4325636
20/07/2020	195,09	5728974
21/07/2020	190,8	5377815
22/07/2020	191,31	2833242
23/07/2020	188,54	3639519
24/07/2020	188,49	3908386
27/07/2020	190,96	3015701
28/07/2020	189,5	3114398
29/07/2020	193,61	3747754
30/07/2020	191,7	3587429
31/07/2020	194,85	3734611
03/08/2020	203,19	6561007
04/08/2020	201,41	4438519
05/08/2020	202,64	3615762
06/08/2020	207,79	5113305
07/08/2020	201,05	5423414
10/08/2020	197,16	5528192
