Date	PX_LAST	PX_VOLUME
10/02/2020	344.67	5876407
11/02/2020	344.42	5311518
12/02/2020	347.45	4421510
13/02/2020	342.82	3783073
14/02/2020	340.49	4199751
18/02/2020	338.88	2908141
19/02/2020	338.3	4935730
20/02/2020	336.28	2807518
21/02/2020	330.38	3709888
24/02/2020	317.9	6073231
25/02/2020	304.14	8052504
26/02/2020	305.59	6996558
27/02/2020	287.76	10982360
28/02/2020	275.11	15375140
02/03/2020	289.27	11012270
03/03/2020	280.62	7499341
04/03/2020	283.12	6986113
05/03/2020	260.37	14669060
06/03/2020	262.33	12861830
09/03/2020	227.17	11585500
10/03/2020	231.01	13059630
11/03/2020	189.08	28571910
12/03/2020	154.84	31734390
13/03/2020	170.2	21168470
16/03/2020	129.61	26844390
17/03/2020	124.14	54492220
18/03/2020	101.89	61943230
19/03/2020	97.71	40210590
20/03/2020	95.01	41370710
23/03/2020	105.62	46140130
24/03/2020	127.68	43683120
25/03/2020	158.73	77825910
26/03/2020	180.55	63504050
27/03/2020	162	47880170
30/03/2020	152.28	51052460
31/03/2020	149.14	29954050
01/04/2020	130.7	41899750
02/04/2020	123.27	42372380
03/04/2020	124.52	37347390
06/04/2020	148.77	51085490
07/04/2020	141.58	56699070
08/04/2020	146.87	41350990
09/04/2020	151.84	38049550
13/04/2020	147.33	26034100
14/04/2020	141	33970450
15/04/2020	145.98	39297630
16/04/2020	134.24	41364810
17/04/2020	154	52389410
20/04/2020	143.61	34983830
21/04/2020	136.33	27043790
22/04/2020	134.97	22842630
23/04/2020	137.74	25936400
24/04/2020	128.98	35947670
27/04/2020	128.68	34562990
28/04/2020	131.3	37806920
29/04/2020	139	60454410
30/04/2020	141.02	37876640
01/05/2020	133.37	36613110
04/05/2020	131.46	30708930
05/05/2020	125.4	30620970
06/05/2020	121.86	29627740
07/05/2020	128.65	29525040
08/05/2020	133.44	22739740
11/05/2020	128.91	20055450
12/05/2020	125.22	22578970
13/05/2020	121.5	26002000
14/05/2020	122.52	37499200
15/05/2020	120	26756830
18/05/2020	135.44	43891480
19/05/2020	130.44	32373040
20/05/2020	133.32	21835490
21/05/2020	139	48263860
22/05/2020	137.53	21098830
26/05/2020	144.73	30338250
27/05/2020	149.52	32799950
28/05/2020	149.82	34849880
29/05/2020	145.85	33905080
01/06/2020	151.39	27239000
02/06/2020	153.31	24780510
03/06/2020	173.16	66486430
04/06/2020	184.3	67155580
05/06/2020	205.43	99846050
08/06/2020	230.5	80902750
09/06/2020	216.74	66688660
10/06/2020	203.41	90384850
11/06/2020	170	103212800
12/06/2020	189.51	89550060
15/06/2020	190.94	78612900
16/06/2020	197.77	76496870
17/06/2020	192.54	53085360
18/06/2020	192.29	60849850
19/06/2020	187.02	67262080
22/06/2020	188.52	53901490
23/06/2020	187.88	50281300
24/06/2020	176.69	56534830
25/06/2020	174.88	57335720
26/06/2020	170.01	50644430
29/06/2020	194.49	78499940
30/06/2020	183.3	65493080
01/07/2020	180.32	49036750
02/07/2020	180.81	41792300
06/07/2020	187.91	49471670
07/07/2020	178.88	37105280
08/07/2020	180.08	38116200
09/07/2020	173.28	33514460
10/07/2020	178.44	40955570
13/07/2020	175.65	43364680
14/07/2020	179.96	39256210
15/07/2020	187.94	48044830
16/07/2020	178.7	35050020
17/07/2020	175.66	26214980
20/07/2020	174.42	25294300
21/07/2020	178.63	40774510
22/07/2020	179.79	29790310
23/07/2020	176.45	29587220
24/07/2020	173.76	28548040
27/07/2020	170.21	30243770
28/07/2020	170.84	25349140
29/07/2020	166.01	51709630
30/07/2020	161.95	29140020
31/07/2020	158	30286700
03/08/2020	162.27	38520490
04/08/2020	165.07	30853450
05/08/2020	174.28	46550970
06/08/2020	172.2	32921630
07/08/2020	170.02	19317970
10/08/2020	179.41	35857660
11/08/2020	180.13	61036610
12/08/2020	175.44	40702390
13/08/2020	174.73	22958760
14/08/2020	178.08	32414090
17/08/2020	172.01	23352130
18/08/2020	170.23	21488490
19/08/2020	169.27	25601500
20/08/2020	169.58	23213410
21/08/2020	167.5	16945900
24/08/2020	178.27	39317110
25/08/2020	174.73	31318540
26/08/2020	171.9	16189790
27/08/2020	174.2	29548070
28/08/2020	175.8	20383900
31/08/2020	171.82	16264300
01/09/2020	172.1	18997420
02/09/2020	174.78	16552090
03/09/2020	168.77	27799390
04/09/2020	171.05	18867270
08/09/2020	161.08	22622680
09/09/2020	160.78	21951400
10/09/2020	157.69	14532590
11/09/2020	160.23	14722440
14/09/2020	165.35	17228430
15/09/2020	163.49	14881700
16/09/2020	167.46	21886250
17/09/2020	167.53	19717830
18/09/2020	161.14	22057120
21/09/2020	156.35	23125340
22/09/2020	156.8	17768920
23/09/2020	151.18	18247500
24/09/2020	146.05	27098140
25/09/2020	156.03	29123010
28/09/2020	166.08	38868160
29/09/2020	163.6	19920970
30/09/2020	165.26	38436690
01/10/2020	167.86	30677080
02/10/2020	168.08	31773790
05/10/2020	171.2	19082150
