Date	PX_LAST	PX_VOLUME
10/02/2020	59,75	7984915
11/02/2020	59,59	7431244
12/02/2020	59,41	9179101
13/02/2020	59,61	8173191
14/02/2020	59,95	9965811
18/02/2020	59,53	10076120
19/02/2020	59,77	6265794
20/02/2020	59,72	7597337
21/02/2020	60,13	10842360
24/02/2020	58,65	14415500
25/02/2020	57,82	15915090
26/02/2020	57,6	15839660
27/02/2020	54,93	23754010
28/02/2020	53,49	40891820
02/03/2020	55,92	25698630
03/03/2020	56,06	27099170
04/03/2020	58,92	20526140
05/03/2020	56,74	17948490
06/03/2020	55,26	22353930
09/03/2020	51,86	27898260
10/03/2020	53,66	27457400
11/03/2020	52,21	22660710
12/03/2020	47,16	31913100
13/03/2020	48,47	33697150
16/03/2020	45,26	28682290
17/03/2020	47,18	32106680
18/03/2020	44,85	35408290
19/03/2020	41,83	41956850
20/03/2020	38,3	51513500
23/03/2020	37,56	44978500
24/03/2020	39,45	49096210
25/03/2020	41,61	42511650
26/03/2020	44,29	37828290
27/03/2020	42,81	23297900
30/03/2020	45	23445970
31/03/2020	44,25	25373930
01/04/2020	42,12	21936410
02/04/2020	43,95	17621880
03/04/2020	43,83	14207110
06/04/2020	46,67	22849980
07/04/2020	46,51	21279570
08/04/2020	47,82	18937130
09/04/2020	49	19167280
13/04/2020	46,93	19586020
14/04/2020	48,92	21801880
15/04/2020	47,61	12893170
16/04/2020	47,1	17606780
17/04/2020	48,06	19844640
20/04/2020	46,53	18957920
21/04/2020	45,38	26863720
22/04/2020	45,68	15815150
23/04/2020	45,07	17668170
24/04/2020	45,43	15177580
27/04/2020	46,78	19175540
28/04/2020	46,74	17246700
29/04/2020	47,12	15780000
30/04/2020	45,89	20801090
01/05/2020	45,6	14290420
04/05/2020	45,14	22544160
05/05/2020	45,4	13370530
06/05/2020	44,75	11892890
07/05/2020	44,6	16474650
08/05/2020	46,11	13987840
11/05/2020	45,54	10874600
12/05/2020	44,82	13424420
13/05/2020	43,94	15854780
14/05/2020	43,7	18000820
15/05/2020	43,26	31579430
18/05/2020	44,97	26122330
19/05/2020	44,54	17839920
20/05/2020	45,89	22295930
21/05/2020	45,17	13193530
22/05/2020	45,03	13008410
26/05/2020	46,09	22223100
27/05/2020	46,73	18447620
28/05/2020	47,09	16234420
29/05/2020	46,68	51129920
01/06/2020	46,99	17013040
02/06/2020	46,9	15255150
03/06/2020	47,9	15508290
04/06/2020	47,92	13604670
05/06/2020	49,09	20504800
08/06/2020	49,85	19896660
09/06/2020	49	16713660
10/06/2020	48,62	15716570
11/06/2020	45,54	26070380
12/06/2020	45,6	21822740
15/06/2020	46,3	15627070
16/06/2020	46,77	18808010
17/06/2020	46,58	12602790
18/06/2020	46,99	9380779
19/06/2020	46,02	30432090
22/06/2020	45,74	20876170
23/06/2020	45,64	14675300
24/06/2020	44,65	17631820
25/06/2020	44,93	13829650
26/06/2020	43,57	21955060
29/06/2020	44,36	17603890
30/06/2020	44,68	23679840
01/07/2020	44,82	14316520
02/07/2020	44,88	15111890
06/07/2020	45,23	15146040
07/07/2020	45,21	13043560
08/07/2020	45,07	13851200
09/07/2020	43,91	16087070
10/07/2020	45,15	15627760
13/07/2020	45,25	16705350
14/07/2020	45,87	17080130
15/07/2020	46,4	23738000
16/07/2020	46,15	13306110
17/07/2020	46,82	13906060
20/07/2020	46,12	16633180
21/07/2020	47,2	25686340
22/07/2020	48,48	29831180
23/07/2020	48,28	15934950
24/07/2020	48,49	16196840
27/07/2020	48,48	17346530
28/07/2020	48,18	13872700
29/07/2020	48,02	13758070
30/07/2020	47,69	17276480
31/07/2020	47,24	14850570
03/08/2020	46,3	14141810
04/08/2020	46,69	11707040
05/08/2020	47,22	10561640
06/08/2020	47,48	10745030
07/08/2020	47,8	11669710
10/08/2020	47,72	11887960
11/08/2020	47,93	16531560
12/08/2020	48,43	9564025
13/08/2020	48,38	9882909
14/08/2020	48,45	10075810
17/08/2020	48,21	9102364
18/08/2020	48,42	9828985
19/08/2020	47,37	17371040
20/08/2020	47,35	11308740
21/08/2020	47,28	14734120
24/08/2020	47,97	9257725
25/08/2020	47,91	7827833
26/08/2020	48,16	10124150
27/08/2020	48,23	10931640
28/08/2020	49,83	16420260
31/08/2020	49,53	18510780
01/09/2020	49,12	12590430
02/09/2020	51,19	26332630
03/09/2020	50,48	22289380
04/09/2020	51,04	21019550
08/09/2020	49,81	17776750
09/09/2020	50,19	15252280
10/09/2020	50	15439510
11/09/2020	51,06	18272340
14/09/2020	50,71	10911660
15/09/2020	51,05	12838390
16/09/2020	50,79	15354680
17/09/2020	50,55	13287140
18/09/2020	50,45	23816600
21/09/2020	49,09	17514770
22/09/2020	49,66	13034620
23/09/2020	48,21	17121210
24/09/2020	48,7	16788100
25/09/2020	48,72	12603380
28/09/2020	49,28	11215710
29/09/2020	48,92	12427770
30/09/2020	49,37	15755900
01/10/2020	49,18	17577260
02/10/2020	49,36	13610070
05/10/2020	49,38	10628740
06/10/2020	48,94	10077430
07/10/2020	49,56	10135650
08/10/2020	50,46	12143920
09/10/2020	50,81	11407810
12/10/2020	51,09	11386510
13/10/2020	50,22	14365290
14/10/2020	50,12	10582940
15/10/2020	49,99	9963190
16/10/2020	50,03	13570890
19/10/2020	49,62	9930443
20/10/2020	50,25	10972730
21/10/2020	49,99	12517410
22/10/2020	50,68	20189230
23/10/2020	50,52	13491270
26/10/2020	49,8	14696400
27/10/2020	49,9	13892110
28/10/2020	47,96	19886160
29/10/2020	48,02	15369880
30/10/2020	48,06	15805000
