Date	PX_LAST	PX_VOLUME
10/02/2020	237,36	2591280
11/02/2020	236,46	2238902
12/02/2020	238,65	2119549
13/02/2020	238,35	1461372
14/02/2020	237,08	1718742
18/02/2020	233,21	2737383
19/02/2020	237,33	2207061
20/02/2020	232,73	3183748
21/02/2020	230,62	3082273
24/02/2020	224,54	4139814
25/02/2020	217,61	5343512
26/02/2020	215,78	4172156
27/02/2020	205,69	5848188
28/02/2020	200,77	6740665
02/03/2020	209,47	5285526
03/03/2020	203,43	5677200
04/03/2020	208,74	3520352
05/03/2020	198,79	4151707
06/03/2020	192,85	5071909
09/03/2020	172,81	6443000
10/03/2020	184,35	6803867
11/03/2020	171,89	5316998
12/03/2020	150,68	8357743
13/03/2020	177,17	6368355
16/03/2020	154,66	6888003
17/03/2020	158,67	6876285
18/03/2020	140,02	9543242
19/03/2020	149,49	6548186
20/03/2020	138,41	7561254
23/03/2020	134,97	5472629
24/03/2020	153,6	6647422
25/03/2020	155,13	8587796
26/03/2020	165,79	6790307
27/03/2020	158,34	4186742
30/03/2020	159,62	4152809
31/03/2020	154,59	3589699
01/04/2020	145,29	4689124
02/04/2020	149,93	4446911
03/04/2020	146,93	2801582
06/04/2020	158,23	4689431
07/04/2020	166,02	4953506
08/04/2020	176,96	5194782
09/04/2020	184,26	6449870
13/04/2020	179,18	4774325
14/04/2020	178,23	4149605
15/04/2020	178,52	6042720
16/04/2020	177,04	4662186
17/04/2020	183,49	5426703
20/04/2020	180,4	4674763
21/04/2020	173,81	3818970
22/04/2020	175,98	2316558
23/04/2020	175,05	2013306
24/04/2020	177	2024646
27/04/2020	183,54	2743124
28/04/2020	187,01	3344730
29/04/2020	190,03	3086258
30/04/2020	183,42	2695447
01/05/2020	177,1	2650183
04/05/2020	176,03	2990142
05/05/2020	178,3	3272990
06/05/2020	176,92	2408676
07/05/2020	182,32	2480533
08/05/2020	185,39	2282566
11/05/2020	183,16	2212324
12/05/2020	177,21	3549190
13/05/2020	171,8	3445251
14/05/2020	174,45	4176657
15/05/2020	171,87	2867769
18/05/2020	181,88	4512571
19/05/2020	177,83	2210480
20/05/2020	181,44	2599855
21/05/2020	180,1	2153769
22/05/2020	179,93	2176407
26/05/2020	196,06	5971201
27/05/2020	209,66	8182053
28/05/2020	201,22	4890687
29/05/2020	196,49	3824488
01/06/2020	199,93	2235963
02/06/2020	204,14	4128686
03/06/2020	210,57	3471886
04/06/2020	214,82	3522252
05/06/2020	217,92	4737626
08/06/2020	220,81	3260307
09/06/2020	218,1	2478365
10/06/2020	213,52	3091188
11/06/2020	194,13	4923410
12/06/2020	201,78	3380817
15/06/2020	206,31	3468788
16/06/2020	209,59	3103691
17/06/2020	206,19	1798324
18/06/2020	203,84	2051659
19/06/2020	201,63	4962438
22/06/2020	203,42	1806868
23/06/2020	204,78	2451825
24/06/2020	198,02	2756726
25/06/2020	207,1	3466472
26/06/2020	189,19	9530651
29/06/2020	193,47	3735957
30/06/2020	197,62	3102760
01/07/2020	197,57	2620147
02/07/2020	197,4	2699373
06/07/2020	207,36	3567664
07/07/2020	199,36	2853484
08/07/2020	202,25	2789713
09/07/2020	196,83	3160116
10/07/2020	205,56	4414807
13/07/2020	208,88	4449599
14/07/2020	214,01	5201950
15/07/2020	216,9	12516720
16/07/2020	214,67	5769606
17/07/2020	211,41	3618027
20/07/2020	211,71	2268726
21/07/2020	212,02	3394178
22/07/2020	206	4978425
23/07/2020	203,02	4088636
24/07/2020	201,47	3191549
27/07/2020	203,02	2601182
28/07/2020	201,62	2139771
29/07/2020	202,58	2634961
30/07/2020	199,53	3057922
31/07/2020	197,96	2401074
03/08/2020	199,39	2295652
04/08/2020	201,64	1944676
05/08/2020	204,52	2323194
06/08/2020	204,25	1882367
07/08/2020	208,27	3074961
10/08/2020	209,38	2432770
11/08/2020	211,06	4042742
12/08/2020	212,13	2439593
13/08/2020	208,39	2219859
14/08/2020	207,97	2287572
17/08/2020	203,07	3922588
18/08/2020	201,31	3067854
19/08/2020	203,02	2458524
20/08/2020	201,85	1764214
21/08/2020	202,43	1781141
24/08/2020	207,34	3097432
25/08/2020	206	2627906
26/08/2020	207,22	2563236
27/08/2020	210,15	3692411
28/08/2020	207,71	3697406
31/08/2020	204,87	3046152
01/09/2020	205,46	2458801
02/09/2020	210,04	3565242
03/09/2020	207,56	3533485
04/09/2020	210,94	3668891
08/09/2020	202,48	4574748
09/09/2020	202,22	4681380
10/09/2020	200,01	2510274
11/09/2020	200,92	2376385
14/09/2020	201,34	2756891
15/09/2020	198	3717632
16/09/2020	200,68	3571873
17/09/2020	194,83	4274772
18/09/2020	194,86	9066647
21/09/2020	194	4871299
22/09/2020	191,62	3355768
23/09/2020	186,12	3116142
24/09/2020	195,11	5114566
25/09/2020	194,95	3105989
28/09/2020	199,07	3280138
29/09/2020	196,79	2401523
30/09/2020	200,97	3075829
01/10/2020	198,55	2288651
02/10/2020	199,9	2541588
05/10/2020	201,8	2551633
06/10/2020	201,09	2833119
07/10/2020	203,6	2326917
08/10/2020	207,98	2330609
09/10/2020	207,54	3040923
12/10/2020	214,12	3474215
13/10/2020	210,81	3317312
14/10/2020	211,23	7557023
15/10/2020	208,6	4334014
16/10/2020	206,21	3246646
19/10/2020	205,69	3235296
20/10/2020	208,03	3336684
21/10/2020	202,91	3083593
22/10/2020	205,4	2137823
23/10/2020	205,04	2110153
26/10/2020	201,14	3249695
27/10/2020	195,68	3430420
28/10/2020	189,77	4214584
29/10/2020	189,94	3581156
30/10/2020	189,04	3661181
02/11/2020	190,2	2459562
03/11/2020	197,93	4545470
04/11/2020	197,87	3868514
05/11/2020	202,96	2892815
06/11/2020	201,26	2475115
09/11/2020	214,93	6960521
10/11/2020	217,47	4166465
11/11/2020	218,05	2680710
12/11/2020	214,51	3009267
13/11/2020	219,08	2832645
16/11/2020	222,38	3004948
17/11/2020	224,65	2722921
18/11/2020	224,3	2856225
19/11/2020	224,57	1505154
20/11/2020	223,35	1848687
23/11/2020	228,83	3378180
