Date	PX_LAST	PX_VOLUME
10/02/2020	240.61	2568037
11/02/2020	241.64	2692405
12/02/2020	241.59	3592140
13/02/2020	242.36	2468189
14/02/2020	245.03	2841585
18/02/2020	243.94	2893400
19/02/2020	243.64	2713341
20/02/2020	247.02	3701834
21/02/2020	245.34	3881083
24/02/2020	239.7	5350146
25/02/2020	237.38	8061529
26/02/2020	235.28	6965709
27/02/2020	224.73	7612793
28/02/2020	217.84	11814660
02/03/2020	229.94	7150821
03/03/2020	227.94	8432488
04/03/2020	241.08	6769978
05/03/2020	234.81	6473854
06/03/2020	228.51	7400162
09/03/2020	210.46	10120510
10/03/2020	225.7	7206600
11/03/2020	212.89	7261975
12/03/2020	190.59	10928670
13/03/2020	205.67	10292300
16/03/2020	164.96	12536630
17/03/2020	173.64	16234410
18/03/2020	155.63	14681870
19/03/2020	161.13	13499060
20/03/2020	152.15	12602420
23/03/2020	162.39	12241620
24/03/2020	184.72	14676620
25/03/2020	181.76	11497380
26/03/2020	195.21	10174080
27/03/2020	190.55	7121658
30/03/2020	196.1	6936746
31/03/2020	186.71	7341134
01/04/2020	178.63	7858183
02/04/2020	181.31	6353948
03/04/2020	178.7	7299814
06/04/2020	191.33	7454001
07/04/2020	192.29	6438763
08/04/2020	194.82	6094736
09/04/2020	201.53	7125726
13/04/2020	198.79	4415560
14/04/2020	207.17	5655443
15/04/2020	198.48	5693945
16/04/2020	199.85	7262770
17/04/2020	209.42	6717580
20/04/2020	206.05	4753058
21/04/2020	200.61	4844962
22/04/2020	204.17	4071352
23/04/2020	202.32	3565518
24/04/2020	212.18	5026219
27/04/2020	217.76	5472779
28/04/2020	217.63	5080746
29/04/2020	221.81	4381069
30/04/2020	219.83	5152681
01/05/2020	218.57	3819299
04/05/2020	221.84	4090943
05/05/2020	225.61	4655164
06/05/2020	223.92	3321131
07/05/2020	229.45	4503029
08/05/2020	234.43	4367213
11/05/2020	236.56	4378313
12/05/2020	232.9	4399618
13/05/2020	230.1	6237154
14/05/2020	234.48	6434481
15/05/2020	239.33	16176260
18/05/2020	245.35	8341251
19/05/2020	238.1	9386987
20/05/2020	238.19	7534153
21/05/2020	240.88	4772695
22/05/2020	241.88	3041768
26/05/2020	242.48	4535235
27/05/2020	247.36	4664800
28/05/2020	245.14	5261750
29/05/2020	248.48	5342824
01/06/2020	247.29	3409936
02/06/2020	252.71	5301049
03/06/2020	251	4638114
04/06/2020	248.95	4759381
05/06/2020	254.9	5054333
08/06/2020	256.77	3811872
09/06/2020	256.76	3716430
10/06/2020	254.45	3589810
11/06/2020	239.47	6563710
12/06/2020	242.45	5238493
15/06/2020	241.36	6253342
16/06/2020	249.95	5296424
17/06/2020	250.85	4234003
18/06/2020	249.21	3347826
19/06/2020	246.65	11114630
22/06/2020	249.16	3815172
23/06/2020	250.31	3105348
24/06/2020	246.13	3873027
25/06/2020	245.38	2938448
26/06/2020	241.01	5002690
29/06/2020	246.12	3468293
30/06/2020	250.51	4524580
01/07/2020	248.15	3677252
02/07/2020	248.5	3369796
06/07/2020	249.55	3133849
07/07/2020	247.35	2927762
08/07/2020	249.17	2293978
09/07/2020	247.96	2994695
10/07/2020	250.11	2745258
13/07/2020	249.62	4437469
14/07/2020	257.79	4614212
15/07/2020	257.8	4343650
16/07/2020	258.08	2511224
17/07/2020	260.38	3094992
20/07/2020	260.17	2451072
21/07/2020	262.42	2440478
22/07/2020	265.17	2749966
23/07/2020	263.81	2680102
24/07/2020	265.31	2984507
27/07/2020	267.42	2412476
28/07/2020	265.28	2226974
29/07/2020	264.66	2874097
30/07/2020	266.31	2347799
31/07/2020	265.49	3640388
03/08/2020	266.18	2364447
04/08/2020	267.87	2223957
05/08/2020	267.48	1963860
06/08/2020	269.37	2203428
07/08/2020	271.64	2846290
10/08/2020	274.73	2393112
11/08/2020	274.92	3321260
12/08/2020	281.58	3869967
13/08/2020	281.66	2202427
14/08/2020	280.55	2490422
17/08/2020	288.24	5584428
18/08/2020	285	6934290
19/08/2020	282.86	4986759
20/08/2020	280.68	3529991
21/08/2020	283.23	5504045
24/08/2020	286.75	4430864
25/08/2020	286.13	2854466
26/08/2020	291.93	4001938
27/08/2020	288.63	3430926
28/08/2020	286.29	3100102
31/08/2020	285.04	4105437
01/09/2020	285.94	3238088
02/09/2020	287.2	3464637
03/09/2020	274.63	5380082
04/09/2020	269.66	5253456
08/09/2020	269.26	5241197
09/09/2020	277.04	4754651
10/09/2020	272.7	3156250
11/09/2020	276.33	3729223
14/09/2020	280.65	3055846
15/09/2020	285.58	4174935
16/09/2020	281.63	3380045
17/09/2020	279.96	3166910
18/09/2020	275.19	6072932
21/09/2020	272.35	3547977
22/09/2020	273.31	2972025
23/09/2020	266.55	4467612
24/09/2020	265.7	3095558
25/09/2020	268.55	2457922
28/09/2020	272.33	3061079
29/09/2020	272.11	2049239
30/09/2020	277.71	4779076
01/10/2020	277.62	2696923
02/10/2020	279.31	2943577
05/10/2020	282.1	2330743
06/10/2020	276.47	2992517
07/10/2020	282.79	3423651
08/10/2020	284.52	2256215
09/10/2020	285.92	2240096
12/10/2020	286.91	2411899
13/10/2020	290.36	2699882
14/10/2020	287.09	2221184
15/10/2020	287.54	2700137
