Date	PX_LAST	PX_VOLUME
10/02/2020	126,17	5216077
11/02/2020	124,16	6105679
12/02/2020	123,45	6031810
13/02/2020	124,96	7159394
14/02/2020	126,14	5889148
18/02/2020	124,87	6768309
19/02/2020	125,44	4734009
20/02/2020	126,58	6094704
21/02/2020	126,7	8724117
24/02/2020	123,3	7534127
25/02/2020	121,43	8903163
26/02/2020	120,16	6894673
27/02/2020	113,5	13298850
28/02/2020	113,23	22788580
02/03/2020	119,56	12399800
03/03/2020	118,17	12510900
04/03/2020	124,5	9459359
05/03/2020	121,63	9363678
06/03/2020	121,66	9817418
09/03/2020	116,06	13116450
10/03/2020	120,55	11419120
11/03/2020	111,59	16460660
12/03/2020	101,84	20988040
13/03/2020	114,07	17378700
16/03/2020	108,5	17367430
17/03/2020	118,24	19451360
18/03/2020	117,45	23139240
19/03/2020	110,83	16428080
20/03/2020	102,43	19922940
23/03/2020	97,7	17776750
24/03/2020	103,27	14625480
25/03/2020	100,92	13789140
26/03/2020	107,38	15799420
27/03/2020	110,17	16073060
30/03/2020	115	14571560
31/03/2020	110	21691680
01/04/2020	109,33	11095780
02/04/2020	114,4	9168803
03/04/2020	115,08	7768786
06/04/2020	117,81	16848430
07/04/2020	112,77	14438380
08/04/2020	115,1	12564950
09/04/2020	114,66	12748640
13/04/2020	115,95	7926690
14/04/2020	120,96	10474220
15/04/2020	121,22	14192870
16/04/2020	121,5	12020150
17/04/2020	124,69	15899790
20/04/2020	120,6	10832030
21/04/2020	119,68	9465410
22/04/2020	119,4	10260970
23/04/2020	119,4	17277010
24/04/2020	118,78	12751920
27/04/2020	117,45	10635680
28/04/2020	116,89	9957960
29/04/2020	117,08	8707867
30/04/2020	117,87	10026380
01/05/2020	116,82	7366547
04/05/2020	115,77	5635970
05/05/2020	116,01	5425339
06/05/2020	113,1	7892197
07/05/2020	112,17	8764179
08/05/2020	115,95	9283095
11/05/2020	115,31	6947540
12/05/2020	114,55	6734364
13/05/2020	113,92	9312622
14/05/2020	113,81	9310039
15/05/2020	114,61	10695110
18/05/2020	116,21	10021010
19/05/2020	112,44	8047555
20/05/2020	113,28	6593798
21/05/2020	111,62	6552661
22/05/2020	112,6	5572017
26/05/2020	112,03	10432430
27/05/2020	113,89	8279675
28/05/2020	116,06	6593613
29/05/2020	115,92	7987916
01/06/2020	117,25	5106119
02/06/2020	118,06	6327940
03/06/2020	118,53	6170999
04/06/2020	116,05	6895854
05/06/2020	118,33	7337829
08/06/2020	119,05	6926693
09/06/2020	118,34	5563215
10/06/2020	119,23	6678195
11/06/2020	116,26	8937510
12/06/2020	115,62	7998614
15/06/2020	116,69	8787028
16/06/2020	118,13	8167289
17/06/2020	117,93	6321110
18/06/2020	119,28	6274391
19/06/2020	118,92	17489810
22/06/2020	117,75	5695640
23/06/2020	117,73	5340538
24/06/2020	116,42	6547849
25/06/2020	117,89	5489336
26/06/2020	115,23	23201710
29/06/2020	117,66	6866923
30/06/2020	119,57	7818122
01/07/2020	119,98	6501237
02/07/2020	120,88	6150890
06/07/2020	121,63	6023276
07/07/2020	122,22	6866456
08/07/2020	122,89	6494002
09/07/2020	122,48	5341048
10/07/2020	123,89	6752789
13/07/2020	124,05	7681479
14/07/2020	125,09	6272344
15/07/2020	124,5	8145042
16/07/2020	124,76	3959345
17/07/2020	125,63	4868609
20/07/2020	125,24	4242084
21/07/2020	125,07	5163047
22/07/2020	126,14	5929208
23/07/2020	126,16	6664788
24/07/2020	125,96	6014523
27/07/2020	126,32	6464784
28/07/2020	127,88	7644674
29/07/2020	128,31	6702034
30/07/2020	131,42	10400730
31/07/2020	131,12	8487840
03/08/2020	131,29	7770344
04/08/2020	133,79	7737154
05/08/2020	133,44	5680385
06/08/2020	132,71	3974322
07/08/2020	133,55	4934948
10/08/2020	134,1	5812760
11/08/2020	133,23	5330012
12/08/2020	135,46	5920397
13/08/2020	135,78	4989503
14/08/2020	135,1	5845231
17/08/2020	135,5	5603971
18/08/2020	136,51	8670776
19/08/2020	135,77	6827671
20/08/2020	136,85	4352541
21/08/2020	137,44	5706678
24/08/2020	138,51	7420504
25/08/2020	139,06	4718309
26/08/2020	138,39	4746223
27/08/2020	138,21	6156418
28/08/2020	138,77	4166280
31/08/2020	138,33	5597152
01/09/2020	138,18	5672308
02/09/2020	140,51	8384795
03/09/2020	138,26	7277910
04/09/2020	137,96	7437835
08/09/2020	135,94	6847640
09/09/2020	138,15	6002891
10/09/2020	136,7	5242617
11/09/2020	138,14	4398051
14/09/2020	138,63	4767466
15/09/2020	138,63	4046529
16/09/2020	137,7	6050037
17/09/2020	137,52	4648708
18/09/2020	137,37	10192780
21/09/2020	136,71	7092706
22/09/2020	137,96	4723016
23/09/2020	136,31	6374016
24/09/2020	136,92	5708196
25/09/2020	137,62	4970184
28/09/2020	138,01	5810836
29/09/2020	137,26	4493156
30/09/2020	138,99	8727963
01/10/2020	139,24	5713511
02/10/2020	138,12	6077907
05/10/2020	139,39	6333929
06/10/2020	139,61	6042878
07/10/2020	140,7	4640939
08/10/2020	141,65	4570134
09/10/2020	142,92	6551774
12/10/2020	144,49	5791704
13/10/2020	144,21	4509433
14/10/2020	144,04	3860801
15/10/2020	143,83	4997147
16/10/2020	144,39	6807859
19/10/2020	141,91	6427561
20/10/2020	142,48	7585241
21/10/2020	143,25	5649652
22/10/2020	141,45	4503323
23/10/2020	142,38	4278287
26/10/2020	141,3	5315562
27/10/2020	142,36	6806665
28/10/2020	137,66	8192153
29/10/2020	137,57	5476878
30/10/2020	137,1	6422103
02/11/2020	138,5	6682895
03/11/2020	141,22	6244208
04/11/2020	140,64	5820621
05/11/2020	142,38	5673138
06/11/2020	143,23	4702528
09/11/2020	137,99	12664660
10/11/2020	140,26	7853955
11/11/2020	142,07	5554342
12/11/2020	142,15	5632667
13/11/2020	144,28	6467021
16/11/2020	142,43	7976828
17/11/2020	141,88	6396807
18/11/2020	139,7	6097357
19/11/2020	139,53	5284085
20/11/2020	139,3	4727377
23/11/2020	138,76	4771187
24/11/2020	138,31	7104103
25/11/2020	138,68	8411414
27/11/2020	138,61	4252166
30/11/2020	138,87	11640400
01/12/2020	139,37	7169854
02/12/2020	138,36	6963009
03/12/2020	137,34	8742470
04/12/2020	137,47	6617372
07/12/2020	137,68	6918027
08/12/2020	138,05	6493708
09/12/2020	136,41	6773608
10/12/2020	135,51	6800847
11/12/2020	136,51	6548068
14/12/2020	135,85	6485252
15/12/2020	136,65	5398197
16/12/2020	137,27	5382469
17/12/2020	138,25	7405252
18/12/2020	139,04	19988800
21/12/2020	137,52	6732371
22/12/2020	136,55	5023425
23/12/2020	136,34	6004252
24/12/2020	137,72	2588169
28/12/2020	138,68	3714683
29/12/2020	138,42	5139415
30/12/2020	137,77	3261417
31/12/2020	139,14	4076415
04/01/2021	137,82	8330985
05/01/2021	138,7	6856411
06/01/2021	140,16	10577950
07/01/2021	138,85	7355623
08/01/2021	138,79	7448475
11/01/2021	137,85	7240037
12/01/2021	137,05	6333531
13/01/2021	137,26	6078874
14/01/2021	135,8	6172796
15/01/2021	134,78	7757624
19/01/2021	133,6	9184920
20/01/2021	131,93	12506630
21/01/2021	131,01	8765692
22/01/2021	130	7202837
25/01/2021	132,24	9639958
26/01/2021	133,09	5996689
27/01/2021	128,38	10826690
28/01/2021	130,36	8242252
29/01/2021	128,21	8344091
01/02/2021	128,97	6534168
02/02/2021	128,79	6825630
03/02/2021	128,95	7309656
04/02/2021	129,03	6613694
05/02/2021	129,57	5063663
