Date	PX_LAST	PX_VOLUME
10/02/2020	136,22	807695
11/02/2020	137,38	1041982
12/02/2020	135,71	824780
13/02/2020	136,88	927166
14/02/2020	137,76	981555
18/02/2020	135,88	1206097
19/02/2020	134,51	1272176
20/02/2020	133,98	1629059
21/02/2020	135,16	1469657
24/02/2020	134,12	1828726
25/02/2020	130,79	1949024
26/02/2020	128,56	1715781
27/02/2020	124,08	2689759
28/02/2020	119,81	3755977
02/03/2020	127,68	3349915
03/03/2020	125,31	2694474
04/03/2020	131,53	2423134
05/03/2020	128,02	2445506
06/03/2020	124,84	2550365
09/03/2020	116,2	3658669
10/03/2020	119,57	2615412
11/03/2020	112,6	3032447
12/03/2020	102,18	3485618
13/03/2020	107,45	3602262
16/03/2020	85,1	4731785
17/03/2020	96,41	5424945
18/03/2020	81,69	3939101
19/03/2020	86,07	3177452
20/03/2020	89,51	5949454
23/03/2020	88,36	4915727
24/03/2020	93,74	4293373
25/03/2020	92,18	4151417
26/03/2020	98,67	4636033
27/03/2020	99,95	3085644
30/03/2020	102,59	2733706
31/03/2020	99,35	2920054
01/04/2020	95,2	3182576
02/04/2020	97,19	1852315
03/04/2020	93,89	1784184
06/04/2020	98,98	3042612
07/04/2020	100,78	1944046
08/04/2020	104,94	1482100
09/04/2020	109,74	1693452
13/04/2020	106,42	1241486
14/04/2020	108,02	2122970
15/04/2020	102,17	1994704
16/04/2020	99,81	1721075
17/04/2020	105,07	2038514
20/04/2020	101,78	2204935
21/04/2020	101,78	3049241
22/04/2020	101,79	2274071
23/04/2020	100,45	1832376
24/04/2020	100,82	2130057
27/04/2020	102,89	1405232
28/04/2020	104,29	1907471
29/04/2020	106	1420187
30/04/2020	101,21	1908848
01/05/2020	96,05	2580460
04/05/2020	96,91	1657661
05/05/2020	96,85	1798709
06/05/2020	93,29	1309350
07/05/2020	95,8	1333103
08/05/2020	97,34	1125160
11/05/2020	95,51	1016350
12/05/2020	93,96	1913120
13/05/2020	89,86	1964852
14/05/2020	90,22	2651582
15/05/2020	90,31	3352670
18/05/2020	95,3	1706103
19/05/2020	93,27	1598667
20/05/2020	95,54	1835630
21/05/2020	99,17	2993572
22/05/2020	100,1	1705433
26/05/2020	103,36	2840553
27/05/2020	106,82	1738414
28/05/2020	107,59	2028445
29/05/2020	106,98	2973627
01/06/2020	109,15	1726709
02/06/2020	111	1796044
03/06/2020	114,47	1774259
04/06/2020	118	1695317
05/06/2020	124,36	3129629
08/06/2020	128	3168196
09/06/2020	125,42	2875372
10/06/2020	120,98	3377359
11/06/2020	110,55	3541221
12/06/2020	113,33	1885120
15/06/2020	114,85	1942446
16/06/2020	116,15	1546431
17/06/2020	114,82	1328505
18/06/2020	116,05	1111058
19/06/2020	116,56	4755256
22/06/2020	116,23	1967755
23/06/2020	116,19	1723916
24/06/2020	112,86	3024359
25/06/2020	114,62	1212801
26/06/2020	111	2515629
29/06/2020	112,9	1161628
30/06/2020	114,05	1464478
01/07/2020	112,5	930533
02/07/2020	112,46	1040251
06/07/2020	114,57	1329951
07/07/2020	112,48	1222586
08/07/2020	113,18	1591195
09/07/2020	110,04	1506776
10/07/2020	113,84	1073616
13/07/2020	114,24	1240091
14/07/2020	118,55	2290186
15/07/2020	119,14	1487427
16/07/2020	120,5	1367361
17/07/2020	119,16	1301527
20/07/2020	118,77	1174248
21/07/2020	120,42	1330176
22/07/2020	122,24	1317905
23/07/2020	118,61	2127284
24/07/2020	118,28	1542839
27/07/2020	116,63	1249361
28/07/2020	115,03	1350277
29/07/2020	116,85	1033551
30/07/2020	115,93	1133662
31/07/2020	114,42	1377096
03/08/2020	114,4	1266646
04/08/2020	113,1	1434444
05/08/2020	115,08	1002029
06/08/2020	113,74	1632334
07/08/2020	117,36	2062872
10/08/2020	119,12	1063551
11/08/2020	119,92	1609417
12/08/2020	118,86	1144562
13/08/2020	119,27	930304
14/08/2020	118,6	625074
17/08/2020	115,91	938214
18/08/2020	114,93	768509
19/08/2020	113,2	1200734
20/08/2020	112,53	895140
21/08/2020	111,83	1082618
24/08/2020	114,9	1361948
25/08/2020	115,62	1356515
26/08/2020	113,54	1200054
27/08/2020	117,18	1543854
28/08/2020	115,89	1725755
31/08/2020	116,04	2298071
01/09/2020	114,69	969904
02/09/2020	117,48	1391371
03/09/2020	115,35	1299448
04/09/2020	116,57	1460665
08/09/2020	113,74	1686804
09/09/2020	113,63	957586
10/09/2020	111,8	950213
11/09/2020	113,4	1040132
14/09/2020	114,46	977298
15/09/2020	112,15	1041991
16/09/2020	113,17	1048858
17/09/2020	112,6	1196917
18/09/2020	111,61	2294668
21/09/2020	109,45	1884072
22/09/2020	109,25	1385066
23/09/2020	107,49	2883502
24/09/2020	107,82	1746258
25/09/2020	108,11	1714060
28/09/2020	110,22	1555854
29/09/2020	107,44	1306457
30/09/2020	108,19	1595813
01/10/2020	107,81	1323588
02/10/2020	108,58	1220255
05/10/2020	111,91	1296338
06/10/2020	111,53	1491809
07/10/2020	113,8	1387999
08/10/2020	115,62	734362
09/10/2020	115,83	903823
12/10/2020	116,54	1370834
13/10/2020	112,89	1230222
14/10/2020	112,03	1070115
15/10/2020	112,64	1238862
16/10/2020	113,32	1641111
19/10/2020	111,84	1191535
20/10/2020	118,11	2300827
21/10/2020	125	2965247
22/10/2020	126,14	2266987
23/10/2020	125,97	1375888
26/10/2020	121,54	1331803
27/10/2020	119,09	1159015
28/10/2020	121,5	2899762
29/10/2020	122,46	2595814
30/10/2020	120,71	2630284
02/11/2020	123,92	1765749
03/11/2020	126,34	1546196
04/11/2020	123,4	2424056
05/11/2020	127,51	1363004
06/11/2020	127	1044186
09/11/2020	134,28	2734294
10/11/2020	136,36	1591089
11/11/2020	134,96	966305
12/11/2020	132,4	1290254
13/11/2020	134,63	1135028
16/11/2020	136,29	1163462
17/11/2020	135,04	1217997
18/11/2020	134,37	1333166
19/11/2020	133,87	1118795
20/11/2020	134,55	1322395
23/11/2020	134,63	917997
24/11/2020	136,39	2098955
25/11/2020	136,02	986670
27/11/2020	134,44	537957
30/11/2020	129,65	2684264
01/12/2020	133,41	1218286
02/12/2020	134,04	948356
03/12/2020	135,09	980802
04/12/2020	136,16	934619
07/12/2020	133,9	970894
08/12/2020	135,26	1113499
09/12/2020	134,91	1600270
10/12/2020	136,71	1352869
11/12/2020	134,95	1273491
14/12/2020	133,99	1344707
15/12/2020	137,26	975580
16/12/2020	137,44	1253302
17/12/2020	138,03	1428834
18/12/2020	138,86	3347120
21/12/2020	138,15	1373175
22/12/2020	136,48	1186613
23/12/2020	137,95	1901516
24/12/2020	138,49	416790
28/12/2020	139,19	1100429
29/12/2020	138,35	859026
30/12/2020	139,08	1253803
31/12/2020	140,37	970233
04/01/2021	135,65	1559750
05/01/2021	134,53	937696
06/01/2021	139,1	1278851
07/01/2021	139,07	1258134
08/01/2021	139,65	995235
11/01/2021	137,43	1017195
12/01/2021	140,42	830056
13/01/2021	142,25	1409227
14/01/2021	142,32	1622072
15/01/2021	143,24	1915888
19/01/2021	143,51	1616686
20/01/2021	145,02	1929792
21/01/2021	148,72	2835427
22/01/2021	145,84	1237974
25/01/2021	146,36	1284839
26/01/2021	143,71	1277366
27/01/2021	139,5	1637625
28/01/2021	140	1680720
29/01/2021	136,3	2277122
01/02/2021	138,21	1232214
02/02/2021	139,83	1403778
03/02/2021	138,66	1083415
04/02/2021	143,93	2701428
05/02/2021	144,84	933621
