Date	PX_LAST	PX_VOLUME
10/02/2020	142,59	8162055
11/02/2020	141,01	10790080
12/02/2020	141,85	8168150
13/02/2020	140,9	7543117
14/02/2020	139,54	9110543
18/02/2020	139,14	8223909
19/02/2020	141,3	7080871
20/02/2020	140,37	5981715
21/02/2020	138,97	7725829
24/02/2020	133,01	19336450
25/02/2020	128,19	21032490
26/02/2020	123,36	31227000
27/02/2020	118,04	30827530
28/02/2020	117,65	35453800
02/03/2020	119,98	21775920
03/03/2020	116,45	19529720
04/03/2020	119,18	13842100
05/03/2020	113,98	22397240
06/03/2020	115,27	22899620
09/03/2020	104,35	26233570
10/03/2020	111,46	24083650
11/03/2020	105,51	24794290
12/03/2020	91,81	40392870
13/03/2020	102,52	40960060
16/03/2020	95,01	35379530
17/03/2020	93,53	27526240
18/03/2020	88,8	43592470
19/03/2020	94,93	30866820
20/03/2020	85,98	31957770
23/03/2020	85,76	32246580
24/03/2020	98,12	32538100
25/03/2020	100,73	28533050
26/03/2020	105,36	24532410
27/03/2020	96,4	30591530
30/03/2020	99,8	23119210
31/03/2020	96,6	21563220
01/04/2020	94,92	18303940
02/04/2020	96,97	13936520
03/04/2020	93,88	14814620
06/04/2020	99,58	20407360
07/04/2020	101,24	22899570
08/04/2020	101,07	22562540
09/04/2020	104,5	31485590
13/04/2020	103,5	17305980
14/04/2020	106,03	19866910
15/04/2020	103,37	14157640
16/04/2020	102,02	18029330
17/04/2020	106,63	17926940
20/04/2020	102,26	17020980
21/04/2020	100,54	16101430
22/04/2020	100,99	11491990
23/04/2020	101	17132150
24/04/2020	101,19	13621100
27/04/2020	106,06	15518290
28/04/2020	106,21	16503670
29/04/2020	112,25	20139800
30/04/2020	108,15	18638720
01/05/2020	105,5	13209150
04/05/2020	103,18	19514840
05/05/2020	101,06	30169820
06/05/2020	100,88	51992370
07/05/2020	105,57	20868770
08/05/2020	109,16	24101680
11/05/2020	107,77	20555870
12/05/2020	104,56	17049740
13/05/2020	102,92	21085770
14/05/2020	105,91	22002220
15/05/2020	109,05	29765970
18/05/2020	116,85	40075680
19/05/2020	114,37	20332580
20/05/2020	119,92	25749910
21/05/2020	117,83	17578300
22/05/2020	118,02	9288238
26/05/2020	120,95	16466400
27/05/2020	121,53	19345390
28/05/2020	116,75	18625660
29/05/2020	117,3	17845760
01/06/2020	118,77	10548790
02/06/2020	118,75	10753110
03/06/2020	122,18	12584300
04/06/2020	123,69	14195120
05/06/2020	124,82	16581600
08/06/2020	127,28	13858100
09/06/2020	123,89	10882800
10/06/2020	122,18	11497110
11/06/2020	112,64	26078850
12/06/2020	115,49	18361940
15/06/2020	117,08	14156380
16/06/2020	118,44	12951190
17/06/2020	117,65	8921557
18/06/2020	118,37	9577324
19/06/2020	114,35	23496270
22/06/2020	115,92	12868010
23/06/2020	116,59	10187620
24/06/2020	112,07	22252540
25/06/2020	111,36	17240440
26/06/2020	109,1	15270850
29/06/2020	111,52	12584330
30/06/2020	111,51	10565920
01/07/2020	113,01	11930870
02/07/2020	112,18	10311970
06/07/2020	114,43	11933430
07/07/2020	113,63	10836470
08/07/2020	116,66	13629530
09/07/2020	116,81	13582870
10/07/2020	119,34	14207920
13/07/2020	116,22	15620190
14/07/2020	118,66	12425140
15/07/2020	120,9	15314200
16/07/2020	119,43	10210150
17/07/2020	118,65	9848857
20/07/2020	117,79	8947906
21/07/2020	118,62	8955973
22/07/2020	119,03	7063295
23/07/2020	118,12	7255832
24/07/2020	117,61	8233263
27/07/2020	116,31	9412967
28/07/2020	116,18	6821077
29/07/2020	115,61	9496463
30/07/2020	115,66	9713524
31/07/2020	116,94	9623821
03/08/2020	116,35	10229170
04/08/2020	117,29	17293920
05/08/2020	127,61	53122390
06/08/2020	130,82	27238000
07/08/2020	129,93	16088580
10/08/2020	128,79	8529151
11/08/2020	130,49	13885680
12/08/2020	131,79	12205200
13/08/2020	130,96	6468610
14/08/2020	130,53	6507571
17/08/2020	129,37	7492155
18/08/2020	128,92	6714570
19/08/2020	127,77	7624193
20/08/2020	128,12	4918122
21/08/2020	127,44	6064709
24/08/2020	130,69	7613610
25/08/2020	129,79	5494391
26/08/2020	132,18	8447779
27/08/2020	133,73	13667640
28/08/2020	135,54	11020070
