Date	PX_LAST	PX_VOLUME
10/02/2020	287,03	3147356
11/02/2020	290,79	2992180
12/02/2020	303,48	6702084
13/02/2020	302,2	3565494
14/02/2020	298,78	2485610
18/02/2020	302,14	3242145
19/02/2020	305,31	3021266
20/02/2020	302,13	2885466
21/02/2020	301,43	2990311
24/02/2020	277,79	8790596
25/02/2020	263,39	8171242
26/02/2020	263	6807579
27/02/2020	253,92	7604285
28/02/2020	254,96	9963972
02/03/2020	273,11	8866267
03/03/2020	261,4	9188087
04/03/2020	289,42	14532980
05/03/2020	282,96	5908381
06/03/2020	283,87	5361864
09/03/2020	273,44	8070720
10/03/2020	280	7366040
11/03/2020	277,78	7747394
12/03/2020	250,41	10496630
13/03/2020	272,04	9308415
16/03/2020	225,04	10303460
17/03/2020	244,22	9642169
18/03/2020	217,06	12917490
19/03/2020	219,8	8065170
20/03/2020	206,59	9364072
23/03/2020	194,86	10654480
24/03/2020	219,8	8894374
25/03/2020	234,49	10013990
26/03/2020	255,39	7518081
27/03/2020	242,45	4879622
30/03/2020	251,28	5328965
31/03/2020	249,38	5455654
01/04/2020	237,32	4548766
02/04/2020	240,44	4636962
03/04/2020	229,49	4650291
06/04/2020	248,34	6365865
07/04/2020	248,04	4984097
08/04/2020	267,83	6390216
09/04/2020	264,13	4925544
13/04/2020	263,51	2965303
14/04/2020	270,5	4778901
15/04/2020	281,68	7841764
16/04/2020	298,43	7738895
17/04/2020	290,56	5857541
20/04/2020	282,14	4072635
21/04/2020	274,19	3977514
22/04/2020	277,02	3663658
23/04/2020	285,33	4420546
24/04/2020	291,29	3265412
27/04/2020	293,98	3706179
28/04/2020	288,36	3862897
29/04/2020	287,65	4258433
30/04/2020	292,47	7631715
01/05/2020	284,51	3526428
04/05/2020	287,54	2894193
05/05/2020	293,04	2501346
06/05/2020	288,77	2579182
07/05/2020	285	3162502
08/05/2020	287	3200304
11/05/2020	288,69	3490863
12/05/2020	287,7	4214309
13/05/2020	278	5474075
14/05/2020	290,61	5705048
15/05/2020	290,96	12182810
18/05/2020	293,36	4017333
19/05/2020	289,05	3059370
20/05/2020	287,99	3200617
21/05/2020	286,91	3604897
