Date	PX_LAST	PX_VOLUME
10/02/2020	205.99	6239519
11/02/2020	203.94	10231890
12/02/2020	207.44	7355774
13/02/2020	207.4	9495314
14/02/2020	210.29	6548804
18/02/2020	211.2	7652915
19/02/2020	213.31	5927543
20/02/2020	211.45	8531862
21/02/2020	208.81	9233229
24/02/2020	198.79	13316770
25/02/2020	188.4	18538950
26/02/2020	187.21	14218220
27/02/2020	180.01	17536600
28/02/2020	181.76	22674740
02/03/2020	192.33	17434490
03/03/2020	185.73	15226400
04/03/2020	194.29	10789150
05/03/2020	186.96	10106880
06/03/2020	184.36	15183150
09/03/2020	171.13	20486360
10/03/2020	182.6	16119420
11/03/2020	172.95	14611850
12/03/2020	160.08	27467750
13/03/2020	175.83	19948860
16/03/2020	152.01	23692020
17/03/2020	157.89	22298000
18/03/2020	148.48	22787470
19/03/2020	152.25	19362800
20/03/2020	146.83	18692080
23/03/2020	135.74	30344070
24/03/2020	154.53	24488280
25/03/2020	161.78	20619630
26/03/2020	168.88	17068960
27/03/2020	161.56	14950750
30/03/2020	165.57	15714500
31/03/2020	161.12	20613130
01/04/2020	153.11	12595200
02/04/2020	157.39	14051130
03/04/2020	151.85	11994680
06/04/2020	169.44	16479120
07/04/2020	168.59	15379000
08/04/2020	174.94	11146510
09/04/2020	173.69	12231770
13/04/2020	168.99	14043740
14/04/2020	174.62	9980479
15/04/2020	165.96	12118670
16/04/2020	162.42	20308240
17/04/2020	169.54	15375820
20/04/2020	164.22	10505200
21/04/2020	160.53	10562120
22/04/2020	166.59	14512900
23/04/2020	166.38	11411300
24/04/2020	167.32	8393562
27/04/2020	171.76	9903319
28/04/2020	171.25	8614404
29/04/2020	181.79	12862800
30/04/2020	178.72	11331580
01/05/2020	175.57	10109560
04/05/2020	176.15	9386209
05/05/2020	178.44	13512960
06/05/2020	178.78	8540501
07/05/2020	182.72	9262209
08/05/2020	185.09	6475195
11/05/2020	183.56	8683139
12/05/2020	179.47	8219650
13/05/2020	177.09	13377120
14/05/2020	180.9	9695147
15/05/2020	183.49	10785880
18/05/2020	191.38	11806310
19/05/2020	189.36	7446814
20/05/2020	193.86	9545600
21/05/2020	190.62	11338070
22/05/2020	190.86	5807559
26/05/2020	193.22	9662199
27/05/2020	192.82	7650334
28/05/2020	194.26	8357439
29/05/2020	195.24	10213510
01/06/2020	194.35	6019388
02/06/2020	196.36	8462065
03/06/2020	196.87	8879428
04/06/2020	193.64	7829774
05/06/2020	199.61	8561152
08/06/2020	199.6	7628052
09/06/2020	199.08	6892262
10/06/2020	200.48	8405338
11/06/2020	188.88	11974600
12/06/2020	192.26	11706350
15/06/2020	191.76	6758998
16/06/2020	192.88	11057220
17/06/2020	193.56	5968877
18/06/2020	193.91	5803210
19/06/2020	192.2	11483310
22/06/2020	194.96	6674515
23/06/2020	197.97	9866782
24/06/2020	191.41	9453097
25/06/2020	193.98	9936587
26/06/2020	189.27	11835980
29/06/2020	191.38	8020373
30/06/2020	193.17	9040104
01/07/2020	193.78	6394132
02/07/2020	195.67	6299276
06/07/2020	197.76	7292237
07/07/2020	194.2	7660130
08/07/2020	195.07	8367953
09/07/2020	192.21	8548236
10/07/2020	192.55	7674187
13/07/2020	189.02	8564070
14/07/2020	193.33	8003917
15/07/2020	196.55	7681064
16/07/2020	193.5	5063990
17/07/2020	195.09	6420921
20/07/2020	198.47	6985253
21/07/2020	196.48	7219418
22/07/2020	198.86	6823385
23/07/2020	197.43	6106708
24/07/2020	195.15	7160336
27/07/2020	196.91	5604702
28/07/2020	196.74	6897278
29/07/2020	198.58	9471295
30/07/2020	194.06	10499360
31/07/2020	190.4	14186000
03/08/2020	190.69	11407910
04/08/2020	192.29	8203979
05/08/2020	196.1	8907332
06/08/2020	198.77	7480317
07/08/2020	196.36	5653969
10/08/2020	196.79	5525401
11/08/2020	197.77	11549610
12/08/2020	198.74	5432755
13/08/2020	197.58	7014804
14/08/2020	196.64	5014416
17/08/2020	199.43	6256203
18/08/2020	199.01	6519888
19/08/2020	200.99	9467594
20/08/2020	204.15	8849171
21/08/2020	204.13	9998308
24/08/2020	206.41	6159596
25/08/2020	208.1	5828348
26/08/2020	210.26	7035221
27/08/2020	211.03	8619578
28/08/2020	215.71	7349837
31/08/2020	211.99	9326852
01/09/2020	213.35	5648766
02/09/2020	216.48	9863801
03/09/2020	208.96	11310190
04/09/2020	204.66	13243600
08/09/2020	200.12	14186880
09/09/2020	204.06	7532626
10/09/2020	201.54	7242970
11/09/2020	200.68	7439317
14/09/2020	204.98	11730450
15/09/2020	205.39	6328575
16/09/2020	205.13	6135541
17/09/2020	205.27	7474944
18/09/2020	202.61	9084141
21/09/2020	197.45	9656041
22/09/2020	200.56	7543137
23/09/2020	195.37	6310558
24/09/2020	195.52	9865265
25/09/2020	197.25	5496052
28/09/2020	200.32	5565280
29/09/2020	199.44	5559814
30/09/2020	199.97	9157591
01/10/2020	203.35	7234628
02/10/2020	201.46	6019734
05/10/2020	203.54	6090528
06/10/2020	200.45	5841141
07/10/2020	202.47	6713433
08/10/2020	202.98	3955634
09/10/2020	206.64	5562948
12/10/2020	206.4	6622714
13/10/2020	204.32	5621674
