Date	PX_LAST	PX_VOLUME
10/02/2020	60.24	8270243
11/02/2020	58.69	22488200
12/02/2020	58.23	20937990
13/02/2020	58.65	19460060
14/02/2020	58.51	9138943
18/02/2020	57.91	12431580
19/02/2020	58.22	13642760
20/02/2020	58.09	16748580
21/02/2020	58.2	15704330
24/02/2020	57.99	18520940
25/02/2020	57.12	19384910
26/02/2020	57.14	16804640
27/02/2020	55.06	25907210
28/02/2020	54.16	45881220
02/03/2020	57.32	30736230
03/03/2020	55.7	27500190
04/03/2020	58.12	17626440
05/03/2020	57.16	21249900
06/03/2020	56.87	22510850
09/03/2020	55.83	31862180
10/03/2020	56.52	34330870
11/03/2020	54.83	21177500
12/03/2020	51.2	45610600
13/03/2020	54.17	45743960
16/03/2020	50.99	36990390
17/03/2020	54.31	33898020
18/03/2020	54.32	38417420
19/03/2020	53.62	33024860
20/03/2020	51.8	46013780
23/03/2020	50.31	39225120
24/03/2020	49.99	40626870
25/03/2020	49.94	38551330
26/03/2020	53.54	32617570
27/03/2020	52.77	25363640
30/03/2020	54.77	20660180
31/03/2020	53.73	21251790
01/04/2020	52.92	18672610
02/04/2020	55.25	20159400
03/04/2020	54.7	17612480
06/04/2020	56.7	20284430
07/04/2020	56.98	21786000
08/04/2020	57.8	18234200
09/04/2020	57.44	19693910
13/04/2020	56.67	12977720
14/04/2020	58.14	16765560
15/04/2020	56.93	18372750
16/04/2020	57.66	17825840
17/04/2020	58.46	15054290
20/04/2020	58.13	14002240
21/04/2020	56.82	14234510
22/04/2020	57.99	12703200
23/04/2020	57.59	15684410
24/04/2020	57.93	15373620
27/04/2020	57.81	16050130
28/04/2020	57.83	13392570
29/04/2020	58.12	17818130
30/04/2020	57.45	17532410
01/05/2020	56.83	13857420
04/05/2020	56.24	11833620
05/05/2020	56.51	10902380
06/05/2020	55.64	12460380
07/05/2020	55.58	14084020
08/05/2020	57	11100310
11/05/2020	56.4	12636810
12/05/2020	55.46	13117720
13/05/2020	54.85	20604550
