Date	PX_LAST	PX_VOLUME
10/02/2020	53.42	4326583
11/02/2020	52.99	4054054
12/02/2020	54.47	5362488
13/02/2020	53.57	3669498
14/02/2020	52.85	5153820
18/02/2020	51.86	4334648
19/02/2020	52.07	3279683
20/02/2020	51.87	3368565
21/02/2020	51.45	4644696
24/02/2020	49.03	8049769
25/02/2020	47.51	6336302
26/02/2020	47.67	7212430
27/02/2020	46.24	10123240
28/02/2020	45.76	11857210
02/03/2020	48.11	11247820
03/03/2020	46.12	10385330
04/03/2020	48.69	7194237
05/03/2020	48.78	7237064
06/03/2020	50.51	11823800
09/03/2020	48.44	12341070
10/03/2020	49.16	11190500
11/03/2020	46.07	8599100
12/03/2020	41.02	11245730
13/03/2020	46.19	11181110
16/03/2020	45.08	10490620
17/03/2020	49.6	9242841
18/03/2020	52.81	16597830
19/03/2020	48.55	10334630
20/03/2020	46.42	11029960
23/03/2020	43.61	8977089
24/03/2020	45.25	9638438
25/03/2020	41.44	11040490
26/03/2020	45.67	11097960
27/03/2020	44	5897960
30/03/2020	45.16	7114853
31/03/2020	45.75	9310877
01/04/2020	43.03	6797972
02/04/2020	40.32	18891080
03/04/2020	40.72	6489129
06/04/2020	42.63	10857780
07/04/2020	42.81	6691660
08/04/2020	43.09	6206547
09/04/2020	43.98	7114187
13/04/2020	44.11	4412316
14/04/2020	46.38	6482577
15/04/2020	43.44	6050195
16/04/2020	43.23	6130359
17/04/2020	44.5	6288850
20/04/2020	42.85	5951551
21/04/2020	42.55	5914957
22/04/2020	43.31	4677117
23/04/2020	43.5	4232052
24/04/2020	43.74	4102420
27/04/2020	44.43	6705457
28/04/2020	44.65	5707205
29/04/2020	45.36	5062500
30/04/2020	43.29	7887461
01/05/2020	41.66	7066217
04/05/2020	42.45	7189144
05/05/2020	42.02	7716942
06/05/2020	41.2	6240399
07/05/2020	40.66	6902150
08/05/2020	41.67	5966560
11/05/2020	41.71	4923506
12/05/2020	40.53	6303490
13/05/2020	38.35	11850200
14/05/2020	38.85	13076730
15/05/2020	38.4	17309300
18/05/2020	40.86	9379507
19/05/2020	39.77	5200970
20/05/2020	40.14	4648855
21/05/2020	39.75	4439895
22/05/2020	39.6	3391244
26/05/2020	42.16	8179265
27/05/2020	42.97	7748126
28/05/2020	41.83	5940573
29/05/2020	42.94	8858013
01/06/2020	43.3	5772089
02/06/2020	43.55	4284668
03/06/2020	43.61	4681745
04/06/2020	44.2	4949552
05/06/2020	45.35	8052004
08/06/2020	47.02	7233578
09/06/2020	45.28	5066529
10/06/2020	44.28	4561353
11/06/2020	40.75	7899726
12/06/2020	41.4	5017758
15/06/2020	41.49	5278303
16/06/2020	42.15	5451473
17/06/2020	42.15	4769041
18/06/2020	41.98	3201454
19/06/2020	44.13	13638620
22/06/2020	43.24	5154136
23/06/2020	42.81	5418061
24/06/2020	41.17	6218319
25/06/2020	42.04	6660463
26/06/2020	41.17	7037424
29/06/2020	42.32	5225851
30/06/2020	42.39	4782083
01/07/2020	40.88	7063239
02/07/2020	41.98	7901086
06/07/2020	43.16	8235579
07/07/2020	42.22	5140226
08/07/2020	42.29	7448304
09/07/2020	39.01	28780430
10/07/2020	40.12	11759330
13/07/2020	39.58	9757455
14/07/2020	40.11	5899469
15/07/2020	40.68	6139192
16/07/2020	41.35	4382747
17/07/2020	41.42	3740732
20/07/2020	40.46	4063135
21/07/2020	40.41	6694243
22/07/2020	40.69	4288531
23/07/2020	40.34	4704022
24/07/2020	40.51	3987955
27/07/2020	39.84	7974709
28/07/2020	40.68	5540925
29/07/2020	41.16	4971298
30/07/2020	40.64	4505618
31/07/2020	40.71	11718130
03/08/2020	41.08	4911763
04/08/2020	40.93	5778496
05/08/2020	40.81	6860335
06/08/2020	40.89	4699427
07/08/2020	41.52	4538665
10/08/2020	42.86	4891874
11/08/2020	41.85	6482621
12/08/2020	41.82	4930113
13/08/2020	41	5689956
14/08/2020	41.91	5687326
17/08/2020	41.175	5275574
18/08/2020	40.76	4835865
19/08/2020	40.25	4973215
20/08/2020	39.71	3645106
21/08/2020	39.46	5629466
24/08/2020	39.74	5500901
25/08/2020	39.5	5564667
26/08/2020	38.67	7776630
27/08/2020	39.34	6072537
28/08/2020	38.76	6035619
31/08/2020	38.02	7940058
01/09/2020	36.76	10735750
02/09/2020	37.17	7672365
03/09/2020	37.09	8278005
04/09/2020	36.89	6994406
08/09/2020	36.1	8261242
09/09/2020	35.35	9506332
10/09/2020	34.67	7892708
11/09/2020	34.7	9634509
14/09/2020	35.11	5742070
15/09/2020	35.27	8488407
16/09/2020	36.28	8224335
17/09/2020	37.21	7251331
18/09/2020	36.93	12824110
21/09/2020	35.79	7484713
22/09/2020	35.72	4399066
23/09/2020	35.06	8479286
24/09/2020	35.03	5498586
25/09/2020	35.43	5955371
28/09/2020	36.07	5901611
29/09/2020	35.38	5079568
30/09/2020	35.92	6679235
01/10/2020	35.87	4808861
02/10/2020	35.77	5464966
05/10/2020	36.62	4774882
06/10/2020	35.95	5123041
07/10/2020	36.49	3687082
08/10/2020	37.07	3623675
09/10/2020	36.34	7423679
12/10/2020	36.93	8686607
13/10/2020	36.18	8021142
14/10/2020	35.91	8381970
15/10/2020	37.64	16171850
16/10/2020	37.41	8563115
19/10/2020	36.97	4865339
20/10/2020	37.49	6034347
21/10/2020	37.39	3708546
22/10/2020	37.51	4082988
23/10/2020	38.04	3875134
26/10/2020	37.21	7692893
27/10/2020	36	5661101
28/10/2020	34.59	7286962
29/10/2020	33.52	9205332
30/10/2020	34.04	10514340
02/11/2020	35.79	7448070
03/11/2020	37.37	7857056
04/11/2020	36.295	8564482
05/11/2020	37.53	6102724
06/11/2020	37.31	6371082
09/11/2020	39.785	12109940
10/11/2020	42.35	18133220
11/11/2020	41.44	7338328
12/11/2020	40.77	5860337
13/11/2020	42.71	6451613
16/11/2020	44.1	8055755
17/11/2020	39.855	25101610
18/11/2020	38.23	14434710
19/11/2020	37.85	12780950
20/11/2020	37.53	9022607
23/11/2020	37.98	8214111
24/11/2020	38.52	8792033
25/11/2020	39.07	6644001
27/11/2020	39	3023964
30/11/2020	38.01	13859290
01/12/2020	38.46	8004466
02/12/2020	39.84	8350784
03/12/2020	42.82	17235450
04/12/2020	43.41	11221490
07/12/2020	42.43	6781706
08/12/2020	41.99	6207400
09/12/2020	41.77	6505180
10/12/2020	41.65	4861713
11/12/2020	41.53	5937140
14/12/2020	41.48	6695702
15/12/2020	41.33	5461005
16/12/2020	40.44	7870681
