Date	PX_LAST	PX_VOLUME
10/02/2020	115,25	6144868
11/02/2020	115,4	5797201
12/02/2020	115,85	4735551
13/02/2020	117,44	5333187
14/02/2020	117,89	8130648
18/02/2020	119,63	11516120
19/02/2020	117,68	7187771
20/02/2020	117,69	5023327
21/02/2020	118,58	6242526
24/02/2020	116,32	6616038
25/02/2020	114,39	7764343
26/02/2020	113,78	6673710
27/02/2020	110,4	9492263
28/02/2020	107,68	17504080
02/03/2020	115,88	17074240
03/03/2020	112,91	11113640
04/03/2020	116,77	8208422
05/03/2020	115,92	8546505
06/03/2020	117,23	9803711
09/03/2020	117,16	19747840
10/03/2020	119,79	12599060
11/03/2020	114,43	10543000
12/03/2020	104,05	18774450
13/03/2020	114,1	14320710
16/03/2020	106,76	12251300
17/03/2020	119,26	17602030
18/03/2020	122,58	25785280
19/03/2020	119,45	19033480
20/03/2020	113,97	18474520
23/03/2020	114,28	13121960
24/03/2020	115,03	14235050
25/03/2020	109,4	17762500
26/03/2020	109,82	19431320
27/03/2020	109,58	12053450
30/03/2020	115,19	9737540
31/03/2020	113,62	8757180
01/04/2020	114,14	9423171
02/04/2020	118,65	9838491
03/04/2020	119,48	9541663
06/04/2020	126,07	15922900
07/04/2020	121,99	13789910
08/04/2020	121,84	9292178
09/04/2020	121,8	10944400
13/04/2020	125,3	8064663
14/04/2020	129	11366310
15/04/2020	128,76	7478431
16/04/2020	132,33	10627450
17/04/2020	132,12	10305090
20/04/2020	129,85	8133941
21/04/2020	129,21	9300239
22/04/2020	131,59	6485036
23/04/2020	128,53	9613297
24/04/2020	129,44	5782761
27/04/2020	128,3	5974605
28/04/2020	128	6910694
29/04/2020	123,6	14870660
30/04/2020	121,55	13499260
01/05/2020	122,92	10381350
04/05/2020	123,7	5935879
05/05/2020	124,73	6445750
06/05/2020	123,3	5769725
07/05/2020	121,89	9116180
08/05/2020	122,94	6944352
11/05/2020	123,67	8447305
12/05/2020	123,78	6366725
13/05/2020	123,71	9725055
14/05/2020	123,42	7411006
15/05/2020	125,94	10590040
18/05/2020	127,66	13035900
19/05/2020	124,95	24915440
20/05/2020	125,45	10748800
21/05/2020	124,99	7482740
22/05/2020	124,33	7453162
26/05/2020	123,86	7910182
27/05/2020	122,48	10357900
28/05/2020	123,69	8145973
29/05/2020	124,06	9772431
01/06/2020	123,96	6855752
02/06/2020	123,94	6395935
03/06/2020	123,47	6754333
04/06/2020	122,11	8004963
05/06/2020	121,56	13112390
08/06/2020	121,24	9448064
09/06/2020	121,35	6915437
10/06/2020	121,16	9380549
11/06/2020	120,09	11387650
12/06/2020	117,74	10786440
15/06/2020	118,08	10901060
16/06/2020	119,65	8395210
17/06/2020	119,03	6722337
18/06/2020	117,99	6689974
19/06/2020	119,85	13342920
22/06/2020	121,68	9112847
23/06/2020	121,07	6575915
24/06/2020	120,3	6871610
25/06/2020	119,71	6856615
26/06/2020	118,32	8997170
29/06/2020	119,06	5503784
30/06/2020	119,78	6836358
01/07/2020	119,69	6577921
02/07/2020	119,21	5898559
06/07/2020	118,89	7231664
07/07/2020	126,95	31152680
08/07/2020	124,44	17405710
09/07/2020	127,75	14257240
10/07/2020	130,68	14745630
13/07/2020	129,52	14112780
14/07/2020	132,01	8818555
15/07/2020	132	10577120
16/07/2020	132,2	5892165
17/07/2020	131,74	6063169
20/07/2020	131,47	6114183
21/07/2020	132,33	7240401
22/07/2020	132,66	5388177
23/07/2020	131,64	5598752
24/07/2020	131,24	4345783
27/07/2020	131,21	4681850
28/07/2020	131,76	4804721
29/07/2020	130,69	4741109
30/07/2020	130,12	4596121
31/07/2020	129,4	7211535
03/08/2020	129,3	4992088
04/08/2020	131,64	6073225
05/08/2020	129,81	8503573
06/08/2020	129,35	4832140
07/08/2020	129,97	5519487
10/08/2020	131,88	5894354
11/08/2020	130,2	8453355
12/08/2020	131,89	6372112
13/08/2020	131,85	6622444
14/08/2020	132,6	6702087
17/08/2020	135,6	13155000
18/08/2020	134,71	26744180
19/08/2020	132,41	12718400
20/08/2020	130,57	8936882
21/08/2020	131,63	8287994
24/08/2020	131,33	6604550
25/08/2020	130,63	7240819
26/08/2020	130,7	6271556
27/08/2020	136,63	39672910
28/08/2020	140,3	21350310
31/08/2020	138,85	15078780
01/09/2020	147,59	35708210
02/09/2020	147,68	17221990
03/09/2020	144,54	16005000
04/09/2020	142,83	11327360
08/09/2020	138,45	11322250
09/09/2020	139,89	11223030
10/09/2020	136,81	11236420
11/09/2020	136,7	9626577
14/09/2020	137,32	15244650
15/09/2020	137,36	10142620
16/09/2020	136,26	9292649
17/09/2020	136,69	12415030
18/09/2020	135,29	18236350
21/09/2020	137,07	15758500
22/09/2020	138,31	11034020
23/09/2020	135,99	7711108
24/09/2020	136,7	9817694
25/09/2020	137,27	7539596
28/09/2020	137,25	7065659
29/09/2020	137,14	9240908
30/09/2020	139,91	11608820
01/10/2020	143,08	14430330
02/10/2020	140,5	8194974
05/10/2020	141,8	4753039
06/10/2020	140,63	7158481
07/10/2020	140,89	5649732
08/10/2020	141,36	4892290
09/10/2020	142,78	4831602
12/10/2020	144,25	6134149
13/10/2020	146,23	7933449
14/10/2020	143,94	6574109
15/10/2020	144,53	4568475
16/10/2020	144,71	5647341
19/10/2020	142,95	4881070
20/10/2020	143,9	4843212
21/10/2020	144,4	4371427
22/10/2020	143,55	4451577
23/10/2020	143,85	3513489
26/10/2020	142,16	5370597
27/10/2020	142,87	3943651
28/10/2020	140,04	5616441
29/10/2020	139,92	5051348
30/10/2020	138,75	6202739
02/11/2020	140,4	5525218
03/11/2020	142,78	5137741
04/11/2020	141,96	5975827
05/11/2020	143,47	4734235
06/11/2020	145,77	5399488
09/11/2020	143,54	9399524
10/11/2020	145,56	6066444
11/11/2020	147,98	6268607
12/11/2020	148,23	4192331
13/11/2020	150,54	6603838
16/11/2020	152,44	11520140
17/11/2020	149,37	14237210
18/11/2020	149,09	8312289
19/11/2020	152,12	6196868
20/11/2020	150,24	7320855
23/11/2020	150,93	6185714
24/11/2020	151,36	5722923
25/11/2020	151,83	4611107
27/11/2020	151,6	3666527
30/11/2020	152,79	10898520
01/12/2020	152,64	7647091
02/12/2020	150,52	7849016
03/12/2020	149,3	8575283
04/12/2020	148,91	6963068
07/12/2020	148,11	6159738
08/12/2020	149,45	6905454
09/12/2020	148,27	6713231
10/12/2020	147,04	6884118
11/12/2020	147	5620262
14/12/2020	145,65	8362652
15/12/2020	145,58	10631500
16/12/2020	145,43	8550348
17/12/2020	146,1	10226460
18/12/2020	145,95	13794740
21/12/2020	145,97	8517668
22/12/2020	144,2	12554060
23/12/2020	143,22	6810150
24/12/2020	143,5	3018157
28/12/2020	145,22	6448325
29/12/2020	144,3	5979380
30/12/2020	144,18	6250385
31/12/2020	144,15	5938018
04/01/2021	146,53	10727410
05/01/2021	145,75	8832653
06/01/2021	146,66	7306302
07/01/2021	146,65	6845971
08/01/2021	146,63	8159400
11/01/2021	147,29	8782414
12/01/2021	148,97	7791143
13/01/2021	147,45	5356541
14/01/2021	146,97	7672366
15/01/2021	144,64	11973490
19/01/2021	143,39	8041153
20/01/2021	145,51	7925237
21/01/2021	144,85	4783285
22/01/2021	146,33	6406452
25/01/2021	146,2	6343721
26/01/2021	147,51	5010495
27/01/2021	143,84	9970114
28/01/2021	143,75	7433874
29/01/2021	140,49	10836370
01/02/2021	139,27	8648363
02/02/2021	140,77	9000788
03/02/2021	141,2	4988932
04/02/2021	142,53	5782089
05/02/2021	144,36	6817249
