Date	DJ30
10/02/2020	29276.82
11/02/2020	29276.34
12/02/2020	29551.42
13/02/2020	29423.31
14/02/2020	29398.08
18/02/2020	29232.19
19/02/2020	29348.03
20/02/2020	29219.98
21/02/2020	28992.41
24/02/2020	27960.80
25/02/2020	27081.36
26/02/2020	26957.59
27/02/2020	25766.64
28/02/2020	25409.36
02/03/2020	26703.32
03/03/2020	25917.41
04/03/2020	27090.86
05/03/2020	26121.28
06/03/2020	25864.78
09/03/2020	23851.02
10/03/2020	25018.16
11/03/2020	23553.22
12/03/2020	21200.62
13/03/2020	23185.62
16/03/2020	20188.52
17/03/2020	21237.38
18/03/2020	19898.92
19/03/2020	20087.19
20/03/2020	19173.98
23/03/2020	18591.93
24/03/2020	20704.91
25/03/2020	21200.55
26/03/2020	22552.17
27/03/2020	21636.78
30/03/2020	22327.48
31/03/2020	21917.16
01/04/2020	20943.51
02/04/2020	21413.44
03/04/2020	21052.53
06/04/2020	22679.99
07/04/2020	22653.86
08/04/2020	23433.57
09/04/2020	23719.37
13/04/2020	23390.77
14/04/2020	23949.76
15/04/2020	23504.35
16/04/2020	23537.68
17/04/2020	24242.49
20/04/2020	23650.44
21/04/2020	23018.88
22/04/2020	23475.82
23/04/2020	23515.26
24/04/2020	23775.27
27/04/2020	24133.78
28/04/2020	24101.55
29/04/2020	24633.86
30/04/2020	24345.72
01/05/2020	23723.69
04/05/2020	23749.76
05/05/2020	23883.09
06/05/2020	23664.64
07/05/2020	23875.89
08/05/2020	24331.32
11/05/2020	24221.99
12/05/2020	23764.78
13/05/2020	23247.97
14/05/2020	23625.34
15/05/2020	23685.42
18/05/2020	24597.37
19/05/2020	24206.86
20/05/2020	24575.90
21/05/2020	24474.12
22/05/2020	24465.16
26/05/2020	24995.11
27/05/2020	25548.27
28/05/2020	25400.64
29/05/2020	25383.11
01/06/2020	25475.02
02/06/2020	25742.65
03/06/2020	26269.89
04/06/2020	26281.82
05/06/2020	27110.98
08/06/2020	27572.44
09/06/2020	27272.30
10/06/2020	26989.99
11/06/2020	25128.17
12/06/2020	25605.54
15/06/2020	25763.16
16/06/2020	26289.98
