COMPANY	TICKER	MARKET	YEAR(t)	STARTING_PRICE_YEAR(t-1)	CLOSING_PRICE_YEAR(t-1)	MARKET_CAP(t-1)	TOTAL_EQUITY(t-1)	REVENUES(t-1)	COGS(T-1)	SG&A(t-1)	INTEREST_EXPENSE(t-1)	ASSETS(t-1)	ASSETS(t-2)	
3M	NYSE:MMM	DJ30	2020	190,54	176,42	101450,4	10126	32136	16736	6390	-448	44659	36500	
AmericanExpress	NYSE:AXP	DJ30	2020	95,32	124,49	101866,5	23071	39983	12661	13051	0	198321	188602	
Amgen	NasdaqGS:AMGN	DJ30	2020	194,67	241,07	143239,8	9673	23362	4356	5150	-1289	59707	66416	
Apple	NasdaqGS:AAPL	DJ30	2020	39,44	73,41	1304764,8	89531	267683	166105	18659	-3471	340618	373719	
Caterpillar	NYSE:CAT	DJ30	2020	127,07	147,68	81616,6	14629	53800	36630	4796	-421	78453	78509	
Chevron	NYSE:CVX	DJ30	2020	108,79	120,51	227869	145208	139865	80113	26590	-798	237428	253863	
Cisco	NasdaqGS:CSCO	DJ30	2020	43,33	47,96	203458,9	35533	51550	18575	11711	-751	90426	102462	
Dow	NYSE:DOW	DJ30	2020	56,25	54,73	40582,1	14094	42951	36621	1385	-933	60524	83699	
Honeywell	NYSE:HON	DJ30	2020	132,12	177	126472,4	18713	36709	24339	4866	-357	58679	57773	
Intel	NasdaqGS:INTC	DJ30	2020	46,93	59,85	260347,5	77504	71965	29825	6350	-489	136524	127963	
IBM	NYSE:IBM	DJ30	2020	113,67	134,04	118710,8	20985	77147	39754	20382	-1344	152186	123382	
JNJ	NYSE:JNJ	DJ30	2020	129,05	145,87	383911,2	59471	82059	27456	22178	-318	157728	152954	
JPM	NYSE:JPM	DJ30	2020	97,62	139,4	437160,1	261330	110041	0	60410	0	2687379	2622532	
McDonalds	NYSE:MCD	DJ30	2020	177,57	197,61	148818,8	-8210,3	21076,5	9961,2	2229,4	-1121,9	47510,8	32811,2	
Merck	NYSE:MRK	DJ30	2020	76,41	90,95	231557,3	26001	46840	13156	9863	-893	84397	82637	
Microsoft	NasdaqGS:MSFT	DJ30	2020	101,57	157,7	1203062,6	110109	134249	43346	23583	-2632	282794	258859	
Nike	NYSE:NKE	DJ30	2020	74,14	101,31	158150,2	9351	40781	22394	13149	-128	26602	22677	
SalesForce	NYSE:CRM	DJ30	2020	136,97	162,64	144261,7	33885	17098	4235	9594	-131	55126	30737	
TheBoeing	NYSE:BA	DJ30	2020	322,5	325,76	183334,9	-8300	76559	71738	3642	-722	133625	117359	
TheCocaCola	NYSE:KO	DJ30	2020	47,35	55,35	237146,6	21098	37266	14619	12011	-946	86381	83216	
TheGoldmanSachs	NYSE:GS	DJ30	2020	167,05	229,93	81415,2	91978	35481	4419	15437	0	992968	931796	
TheHomeDepot	NYSE:HD	DJ30	2020	171,82	218,38	238215,7	-3116	110225	72653	19740	-1201	51236	44003	
TheProcterandGamble	NYSE:PG	DJ30	2020	91,92	124,9	311477,1	45908	69594	34436	19482	-450	111723	123687	
TheTravelers	NYSE:TRV	DJ30	2020	119,75	136,95	35348,5	25943	31581	23734	4365	-344	110122	104233	
TheWaltDisney	NYSE:DIS	DJ30	2020	109,65	144,63	260680,9	103802	75125	46033	12812	-1445	200948	99941	
UnitedHealth	NYSE:UNH	DJ30	2020	249,12	293,98	278521	62162	242155	184557	35193	-1704	173889	152221	
Verizon	NYSE:VZ	DJ30	2020	56,22	61,4	253937,2	62835	131868	54726	28939	-4730	291727	264829	
VISA	NYSE:V	DJ30	2020	131,94	187,9	404885,2	35270	23525	729	6387	-499	74781	71655	
Walgreens	NasdaqGS:WBA	DJ30	2020	68,33	58,96	52355,7	24314	137412	107715	24836	-684	90807	69941	
Walmart	NYSE:WMT	DJ30	2020	93,15	118,84	337169,9	81552	523964	394605	107891	-2599	236495	219295	
														
														
														
														
														
														
